Type,Region,Scale,PERIOD,Sales Price Index
Apartments,TheWholeCountry,Scale1,2017.11 Month,98.47926259
Apartments,TheWholeCountry,Scale1,2017.12 Month,98.49716071
Apartments,TheWholeCountry,Scale1,2018.01 Month,98.43344542
Apartments,TheWholeCountry,Scale1,2018.02 Month,98.36578957
Apartments,TheWholeCountry,Scale1,2018.03 Month,98.2072462
Apartments,TheWholeCountry,Scale1,2018.04 Month,97.9501197
Apartments,TheWholeCountry,Scale1,2018.05 Month,97.67614064
Apartments,TheWholeCountry,Scale1,2018.06 Month,97.32942246
Apartments,TheWholeCountry,Scale1,2018.07 Month,97.11028069
Apartments,TheWholeCountry,Scale1,2018.08 Month,96.76154746
Apartments,TheWholeCountry,Scale1,2018.09 Month,96.8332079
Apartments,TheWholeCountry,Scale1,2018.10 Month,96.85648048
Apartments,TheWholeCountry,Scale1,2018.11 Month,96.67588809
Apartments,TheWholeCountry,Scale1,2018.12 Month,96.3206625
Apartments,TheWholeCountry,Scale1,2019.01 Month,95.85618362
Apartments,TheWholeCountry,Scale1,2019.02 Month,95.53325359
Apartments,TheWholeCountry,Scale1,2019.03 Month,95.20429414
Apartments,TheWholeCountry,Scale1,2019.04 Month,94.70901524
Apartments,TheWholeCountry,Scale1,2019.05 Month,94.40379406
Apartments,TheWholeCountry,Scale1,2019.06 Month,94.20700496
Apartments,TheWholeCountry,Scale1,2019.07 Month,93.87849046
Apartments,TheWholeCountry,Scale1,2019.08 Month,93.49642737
Apartments,TheWholeCountry,Scale1,2019.09 Month,93.26431491
Apartments,TheWholeCountry,Scale1,2019.10 Month,93.10622342
Apartments,TheWholeCountry,Scale1,2019.11 Month,93.015833
Apartments,TheWholeCountry,Scale1,2019.12 Month,93.25561267
Apartments,TheWholeCountry,Scale1,2020.01 Month,93.1694398
Apartments,TheWholeCountry,Scale1,2020.02 Month,93.13248532
Apartments,TheWholeCountry,Scale1,2020.03 Month,93.48127681
Apartments,TheWholeCountry,Scale1,2020.04 Month,93.57641662
Apartments,TheWholeCountry,Scale1,2020.05 Month,93.53167241
Apartments,TheWholeCountry,Scale1,2020.06 Month,93.8986993
Apartments,TheWholeCountry,Scale1,2020.07 Month,94.35627873
Apartments,TheWholeCountry,Scale1,2020.08 Month,94.57512253
Apartments,TheWholeCountry,Scale1,2020.09 Month,94.63243835
Apartments,TheWholeCountry,Scale1,2020.10 Month,94.71682941
Apartments,TheWholeCountry,Scale1,2020.11 Month,95.01789494
Apartments,TheWholeCountry,Scale1,2020.12 Month,95.65226319
Apartments,TheWholeCountry,Scale1,2021.01 Month,96.10440921
Apartments,TheWholeCountry,Scale1,2021.02 Month,96.88746798
Apartments,TheWholeCountry,Scale1,2021.03 Month,97.5803342
Apartments,TheWholeCountry,Scale1,2021.04 Month,98.04579193
Apartments,TheWholeCountry,Scale1,2021.05 Month,98.68566574
Apartments,TheWholeCountry,Scale1,2021.06 Month,100
Apartments,TheWholeCountry,Scale1,2021.07 Month,100.9583069
Apartments,TheWholeCountry,Scale1,2021.08 Month,102.0666186
Apartments,TheWholeCountry,Scale1,2021.09 Month,103.1212871
Apartments,TheWholeCountry,Scale1,2021.10 Month,104.2151705
Apartments,TheWholeCountry,Scale1,2021.11 Month,105.1745656
Apartments,TheWholeCountry,Scale1,2021.12 Month,105.6178769
Apartments,TheWholeCountry,Scale1,2022.01 Month,105.7201426
Apartments,TheWholeCountry,Scale1,2022.02 Month,105.6771786
Apartments,TheWholeCountry,Scale1,2022.03 Month,105.7364934
Apartments,TheWholeCountry,Scale1,2022.04 Month,105.8057065
Apartments,TheWholeCountry,Scale1,2022.05 Month,105.881555
Apartments,TheWholeCountry,Scale1,2022.06 Month,105.9396731
Apartments,TheWholeCountry,Scale1,2022.07 Month,105.8226643
