"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"Total average","The number of hosehold members","2006.1/4","2.989","3.136","2.806",
"Total average","The number of hosehold members","2006.2/4","2.926","3.076","2.731",
"Total average","The number of hosehold members","2006.3/4","2.915","3.065","2.724",
"Total average","The number of hosehold members","2006.4/4","2.912","3.073","2.712",
"Total average","The number of hosehold members","2007.1/4","2.878","3.062","2.663",
"Total average","The number of hosehold members","2007.2/4","2.88","3.038","2.683",
"Total average","The number of hosehold members","2007.3/4","2.876","3.057","2.649",
"Total average","The number of hosehold members","2007.4/4","2.876","3.066","2.642",
"Total average","The number of hosehold members","2008.1/4","2.849","3.068","2.59",
"Total average","The number of hosehold members","2008.2/4","2.861","3.083","2.59",
"Total average","The number of hosehold members","2008.3/4","2.852","3.089","2.566",
"Total average","The number of hosehold members","2008.4/4","2.87","3.109","2.575",
"Total average","The number of hosehold members","2009.1/4","2.85","3.08","2.566",
"Total average","The number of hosehold members","2009.2/4","2.859","3.068","2.597",
"Total average","The number of hosehold members","2009.3/4","2.855","3.079","2.575",
"Total average","The number of hosehold members","2009.4/4","2.869","3.092","2.582",
"Total average","The number of hosehold members","2010.1/4","2.835","3.072","2.546",
"Total average","The number of hosehold members","2010.2/4","2.847","3.04","2.587",
"Total average","The number of hosehold members","2010.3/4","2.834","3.017","2.585",
"Total average","The number of hosehold members","2010.4/4","2.845","3.036","2.591",
"Total average","The number of hosehold members","2011.1/4","2.827","3.027","2.57",
"Total average","The number of hosehold members","2011.2/4","2.833","3.002","2.6",
"Total average","The number of hosehold members","2011.3/4","2.819","2.984","2.592",
"Total average","The number of hosehold members","2011.4/4","2.832","3.025","2.568",
"Total average","The number of hosehold members","2012.1/4","2.812","3.026","2.527",
"Total average","The number of hosehold members","2012.2/4","2.824","3.013","2.554",
"Total average","The number of hosehold members","2012.3/4","2.81","3.026","2.508",
"Total average","The number of hosehold members","2012.4/4","2.82","3.057","2.495",
"Total average","The number of hosehold members","2013.1/4","2.775","3.033","2.441",
"Total average","The number of hosehold members","2013.2/4","2.793","3.012","2.486",
"Total average","The number of hosehold members","2013.3/4","2.795","3.027","2.463",
"Total average","The number of hosehold members","2013.4/4","2.801","3.042","2.46",
"Total average","The number of hosehold members","2014.1/4","2.716","2.997","2.356",
"Total average","The number of hosehold members","2014.2/4","2.723","2.971","2.381",
"Total average","The number of hosehold members","2014.3/4","2.717","2.941","2.398",
"Total average","The number of hosehold members","2014.4/4","2.725","2.936","2.414",
"Total average","The number of hosehold members","2015.1/4","2.64","2.902","2.293",
"Total average","The number of hosehold members","2015.2/4","2.649","2.863","2.342",
"Total average","The number of hosehold members","2015.3/4","2.641","2.853","2.34",
"Total average","The number of hosehold members","2015.4/4","2.648","2.859","2.344",
"Total average","The number of hosehold members","2016.1/4","2.584","2.841","2.26",
"Total average","The number of hosehold members","2016.2/4","2.59","2.821","2.27",
"Total average","The number of hosehold members","2016.3/4","2.586","2.808","2.283",
"Total average","The number of hosehold members","2016.4/4","2.592","2.815","2.287",
"Total average","The number of hosehold members","2017.1/4","2.537","2.807","2.198",
"Total average","The number of hosehold members","2017.2/4","2.541","2.753","2.245",
"Total average","The number of hosehold members","2017.3/4","2.531","2.731","2.256",
"Total average","The number of hosehold members","2017.4/4","2.54","2.742","2.265",
"Total average","The number of hosehold members","2018.1/4","2.482","2.756","2.177",
"Total average","The number of hosehold members","2018.2/4","2.485","2.697","2.222",
"Total average","The number of hosehold members","2018.3/4","2.482","2.667","2.25",
"Total average","The number of hosehold members","2018.4/4","2.486","2.681","2.244",
"Total average","The number of hosehold members","2019.1/4","2.455","2.68","2.195",
"Total average","The number of hosehold members","2019.2/4","2.464","2.665","2.211",
"Total average","The number of hosehold members","2019.3/4","2.457","2.664","2.199",
"Total average","The number of hosehold members","2019.4/4","2.464","2.67","2.204",
"Total average","Age of household's head","2006.1/4","47.72","43.516","52.954",
"Total average","Age of household's head","2006.2/4","48.023","43.931","53.38",
"Total average","Age of household's head","2006.3/4","48.27","43.923","53.799",
"Total average","Age of household's head","2006.4/4","48.495","44.02","54.044",
"Total average","Age of household's head","2007.1/4","48.721","43.858","54.438",
"Total average","Age of household's head","2007.2/4","48.699","44.137","54.406",
"Total average","Age of household's head","2007.3/4","48.833","44.153","54.693",
"Total average","Age of household's head","2007.4/4","49.091","44.286","55.027",
"Total average","Age of household's head","2008.1/4","48.952","43.767","55.076",
"Total average","Age of household's head","2008.2/4","49.023","44.267","54.829",
"Total average","Age of household's head","2008.3/4","49.297","44.404","55.187",
"Total average","Age of household's head","2008.4/4","49.35","44.261","55.612",
"Total average","Age of household's head","2009.1/4","49.421","44.384","55.608",
"Total average","Age of household's head","2009.2/4","49.579","44.771","55.614",
"Total average","Age of household's head","2009.3/4","49.342","44.941","54.846",
"Total average","Age of household's head","2009.4/4","49.219","45.011","54.643",
"Total average","Age of household's head","2010.1/4","49.389","44.682","55.128",
"Total average","Age of household's head","2010.2/4","49.447","45.419","54.872",
"Total average","Age of household's head","2010.3/4","49.774","45.701","55.349",
"Total average","Age of household's head","2010.4/4","49.828","45.361","55.778",
"Total average","Age of household's head","2011.1/4","49.867","44.86","56.334",
"Total average","Age of household's head","2011.2/4","50.116","45.925","55.875",
"Total average","Age of household's head","2011.3/4","50.246","45.892","56.275",
"Total average","Age of household's head","2011.4/4","50.419","45.764","56.819",
"Total average","Age of household's head","2012.1/4","50.676","45.661","57.348",
"Total average","Age of household's head","2012.2/4","50.844","46.564","56.965",
"Total average","Age of household's head","2012.3/4","50.978","46.739","56.913",
"Total average","Age of household's head","2012.4/4","51.026","46.324","57.493",
"Total average","Age of household's head","2013.1/4","51.353","46.259","57.941",
"Total average","Age of household's head","2013.2/4","51.388","46.965","57.617",
"Total average","Age of household's head","2013.3/4","51.465","46.842","58.072",
"Total average","Age of household's head","2013.4/4","51.611","46.885","58.287",
"Total average","Age of household's head","2014.1/4","51.92","46.424","58.952",
"Total average","Age of household's head","2014.2/4","51.621","47.064","57.932",
"Total average","Age of household's head","2014.3/4","51.632","47.085","58.109",
"Total average","Age of household's head","2014.4/4","51.714","47.143","58.457",
"Total average","Age of household's head","2015.1/4","52.042","46.375","59.541",
"Total average","Age of household's head","2015.2/4","52.254","47.641","58.86",
"Total average","Age of household's head","2015.3/4","52.216","47.615","58.737",
"Total average","Age of household's head","2015.4/4","52.385","47.796","58.966",
"Total average","Age of household's head","2016.1/4","52.797","47.336","59.653",
"Total average","Age of household's head","2016.2/4","52.972","48.422","59.262",
"Total average","Age of household's head","2016.3/4","53.018","48.369","59.358",
"Total average","Age of household's head","2016.4/4","53.03","48.459","59.25",
"Total average","Age of household's head","2017.1/4","53.684","48.106","60.69",
"Total average","Age of household's head","2017.2/4","53.808","49.367","60.034",
"Total average","Age of household's head","2017.3/4","54.043","49.454","60.366",
"Total average","Age of household's head","2017.4/4","54.108","49.614","60.245",
"Total average","Age of household's head","2018.1/4","54.687","48.481","61.603",
"Total average","Age of household's head","2018.2/4","54.716","49.439","61.238",
"Total average","Age of household's head","2018.3/4","54.776","49.68","61.118",
"Total average","Age of household's head","2018.4/4","54.836","49.707","61.188",
"Total average","Age of household's head","2019.1/4","55.192","49.497","61.77",
"Total average","Age of household's head","2019.2/4","55.139","50.214","61.322",
"Total average","Age of household's head","2019.3/4","55.36","50.259","61.699",
"Total average","Age of household's head","2019.4/4","55.578","50.47","62.016",
"Total average","Distribution of households","2006.1/4","100","100","100",
"Total average","Distribution of households","2006.2/4","100","100","100",
"Total average","Distribution of households","2006.3/4","100","100","100",
"Total average","Distribution of households","2006.4/4","100","100","100",
"Total average","Distribution of households","2007.1/4","100","100","100",
"Total average","Distribution of households","2007.2/4","100","100","100",
"Total average","Distribution of households","2007.3/4","100","100","100",
"Total average","Distribution of households","2007.4/4","100","100","100",
"Total average","Distribution of households","2008.1/4","100","100","100",
"Total average","Distribution of households","2008.2/4","100","100","100",
"Total average","Distribution of households","2008.3/4","100","100","100",
"Total average","Distribution of households","2008.4/4","100","100","100",
"Total average","Distribution of households","2009.1/4","100","100","100",
"Total average","Distribution of households","2009.2/4","100","100","100",
"Total average","Distribution of households","2009.3/4","100","100","100",
"Total average","Distribution of households","2009.4/4","100","100","100",
"Total average","Distribution of households","2010.1/4","100","100","100",
"Total average","Distribution of households","2010.2/4","100","100","100",
"Total average","Distribution of households","2010.3/4","100","100","100",
"Total average","Distribution of households","2010.4/4","100","100","100",
"Total average","Distribution of households","2011.1/4","100","100","100",
"Total average","Distribution of households","2011.2/4","100","100","100",
"Total average","Distribution of households","2011.3/4","100","100","100",
"Total average","Distribution of households","2011.4/4","100","100","100",
"Total average","Distribution of households","2012.1/4","100","100","100",
"Total average","Distribution of households","2012.2/4","100","100","100",
"Total average","Distribution of households","2012.3/4","100","100","100",
"Total average","Distribution of households","2012.4/4","100","100","100",
"Total average","Distribution of households","2013.1/4","100","100","100",
"Total average","Distribution of households","2013.2/4","100","100","100",
"Total average","Distribution of households","2013.3/4","100","100","100",
"Total average","Distribution of households","2013.4/4","100","100","100",
"Total average","Distribution of households","2014.1/4","100","100","100",
"Total average","Distribution of households","2014.2/4","100","100","100",
"Total average","Distribution of households","2014.3/4","100","100","100",
"Total average","Distribution of households","2014.4/4","100","100","100",
"Total average","Distribution of households","2015.1/4","100","100","100",
"Total average","Distribution of households","2015.2/4","100","100","100",
"Total average","Distribution of households","2015.3/4","100","100","100",
"Total average","Distribution of households","2015.4/4","100","100","100",
"Total average","Distribution of households","2016.1/4","100","100","100",
"Total average","Distribution of households","2016.2/4","100","100","100",
"Total average","Distribution of households","2016.3/4","100","100","100",
"Total average","Distribution of households","2016.4/4","100","100","100",
"Total average","Distribution of households","2017.1/4","100","100","100",
"Total average","Distribution of households","2017.2/4","100","100","100",
"Total average","Distribution of households","2017.3/4","100","100","100",
"Total average","Distribution of households","2017.4/4","100","100","100",
"Total average","Distribution of households","2018.1/4","100","100","100",
"Total average","Distribution of households","2018.2/4","100","100","100",
"Total average","Distribution of households","2018.3/4","100","100","100",
"Total average","Distribution of households","2018.4/4","100","100","100",
"Total average","Distribution of households","2019.1/4","100","100","100",
"Total average","Distribution of households","2019.2/4","100","100","100",
"Total average","Distribution of households","2019.3/4","100","100","100",
"Total average","Distribution of households","2019.4/4","100","100","100",
"Total average","Income","2006.1/4","2748346.436","3211697.222","2171509.078",
"Total average","Income","2006.2/4","2676188.136","3078845.056","2149048.864",
"Total average","Income","2006.3/4","2725318.589","3191810.791","2131952.815",
"Total average","Income","2006.4/4","2825442.349","3321026.608","2211020.771",
"Total average","Income","2007.1/4","2890997.096","3474698.984","2204806.323",
"Total average","Income","2007.2/4","2760647.836","3200699.657","2210108.118",
"Total average","Income","2007.3/4","2921772.625","3443412.377","2268502.556",
"Total average","Income","2007.4/4","2909253.561","3425252.594","2271989.089",
"Total average","Income","2008.1/4","3002518.777","3658612.838","2227654.316",
"Total average","Income","2008.2/4","2873507.343","3417224.558","2209731.371",
"Total average","Income","2008.3/4","3045331.775","3647803.851","2319967.08",
"Total average","Income","2008.4/4","2966875.826","3530029.877","2273991.481",
"Total average","Income","2009.1/4","3027528.224","3675237.183","2231908.683",
"Total average","Income","2009.2/4","2880493.554","3379324.329","2254510.684",
"Total average","Income","2009.3/4","3004898.332","3546735.823","2327396.08",
"Total average","Income","2009.4/4","3095238.943","3591131.083","2455937.462",
"Total average","Income","2010.1/4","3244371.673","3852999.15","2502115.326",
"Total average","Income","2010.2/4","3099039.964","3528935.154","2520030.601",
"Total average","Income","2010.3/4","3199906.685","3656979.566","2574157.057",
"Total average","Income","2010.4/4","3164915.1","3613821.29","2566932.947",
"Total average","Income","2011.1/4","3394843.127","4000802.506","2612334.239",
