"Area","City/Province","Company 1","Company 2","PERIOD","Number of operators","Number of units for rental",
"Total","Total","Total","Total","1994 Year","105","32935",
"Total","Total","Total","Total","1995 Year","577","140851",
"Total","Total","Total","Total","1996 Year","1185","203961",
"Total","Total","Total","Total","1997 Year","4410","262338",
"Total","Total","Total","Total","1998 Year","5648","309294",
"Total","Total","Total","Total","1999 Year","7784","376589",
"Total","Total","Total","Total","2000 Year","11568","472031",
"Total","Total","Total","Total","2001 Year","16394","543980",
"Total","Total","Total","Total","2002 Year","21419","634476",
"Total","Total","Total","Total","2003 Year","27155","730643",
"Total","Total","Total","Total","2004 Year","31737","913608",
"Total","Total","Total","Total","2006 Year","38613","1330204",
"Total","Total","Total","Total","2007 Year","37458","1334951",
"Total","Total","Total","Total","2008 Year","40256","1341670",
"Total","Total","Total","Total","2009 Year","40872","1311369",
"Total","Total","Total","Total","2010 Year","41590","1399227",
"Total","Total","Total","Total","2011 Year","48435","1459513",
"Total","Total","Total","Total","2012 Year","54137","1487421",
"Total","Total","Total","Total","2013 Year","80009","1616221",
"Total","Total","Total","Total","2014 Year","103927","1708716",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1994 Year","74","32100",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1995 Year","299","137256",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1996 Year","428","195982",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1997 Year","587","228645",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1998 Year","646","264977",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","1999 Year","814","316274",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2000 Year","959","392037",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2001 Year","1216","430237",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2002 Year","1281","479161",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2003 Year","1425","527273",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2004 Year","1513","657031",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2006 Year","1355","941517",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2007 Year","1363","907306",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2008 Year","1263","910879",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2009 Year","1191","922904",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2010 Year","1080","1008933",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2011 Year","1374","1053017",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2012 Year","1869","1070323",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2013 Year","1947","1147066",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2014 Year","2039","1233424",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1994 Year","2","52",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1995 Year","157","1710",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1996 Year","284","3277",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1997 Year","466","5577",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1998 Year","550","6631",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","1999 Year","669","8069",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2000 Year","910","11265",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2001 Year","1742","21506",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2002 Year","3222","44141",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2003 Year","3985","52553",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2004 Year","5119","76532",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2006 Year","6622","154353",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2007 Year","4715","146934",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2008 Year","5662","165999",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2009 Year","5530","114934",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2010 Year","5973","129996",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2011 Year","7735","131909",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2012 Year","7042","142390",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2013 Year","9917","142982",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2014 Year","10164","117138",
"Total","Total","Total","Total","2015 Year","138230","1937685",
"Total","Total","Construction Rental Businessman","Housing Construction Business Operator","2015 Year","2132","1333866",
"Total","Total","Construction Rental Businessman","Licenser by Construction Law","2015 Year","11675","140222",
"Total","Total","Total","Total","2016 Year","202711","2273362",
"Total","Total","Total","Total","2017 Year","248823","2444382",
"Total","Total","Total","Total","2018 Year","342763","2984664",
"Total","Total","Total","Total","2019 Year","315613","3044746",
"Total","Total","Public Housing Operator","Construction Rental","2016 Year","34","1004870",
"Total","Total","Public Housing Operator","Construction Rental","2017 Year","27","1047148",
"Total","Total","Public Housing Operator","Construction Rental","2018 Year","20","1120655",
"Total","Total","Public Housing Operator","Construction Rental","2019 Year","15","1154860",
"Capital Area","Total","Total","Total","1994 Year","105","32935",
"Capital Area","Total","Total","Total","1995 Year","577","140851",
