"Type","Region","PERIOD","Sales Price Index",
"Total","TheWholeCountry","2020.12 Month","95.16448164",
"Total","TheWholeCountry","2021.01 Month","95.91699718",
"Total","TheWholeCountry","2021.02 Month","96.77535279",
"Total","TheWholeCountry","2021.03 Month","97.4872193",
"Total","TheWholeCountry","2021.04 Month","98.17542084",
"Total","TheWholeCountry","2021.05 Month","98.86155873",
"Total","TheWholeCountry","2021.06 Month","100",
"Total","TheWholeCountry","2021.07 Month","100.8527701",
"Total","TheWholeCountry","2021.08 Month","101.8232676",
"Total","TheWholeCountry","2021.09 Month","102.7556195",
"Total","TheWholeCountry","2021.10 Month","103.6644343",
"Total","TheWholeCountry","2021.11 Month","104.3169996",
"Total","TheWholeCountry","2021.12 Month","104.6169034",
"Total","TheWholeCountry","2022.01 Month","104.7193237",
"Total","TheWholeCountry","2022.02 Month","104.7501852",
"Total","TheWholeCountry","2022.03 Month","104.7681327",
"Total","TheWholeCountry","2022.04 Month","104.8296115",
"Total","TheWholeCountry","2022.05 Month","104.8440136",
"Total","TheWholeCountry","2022.06 Month","104.8372099",
"Total","TheWholeCountry","2022.07 Month","104.7582611",
"Total","TheWholeCountry","2022.08 Month","104.4590502",
"Total","TheWholeCountry","2022.09 Month","103.9498545",
"Total","TheWholeCountry","2022.10 Month","103.1485214",
"Total","TheWholeCountry","2022.11 Month","101.7361712",
"Total","TheWholeCountry","2022.12 Month","99.72380843",
"Total","TheWholeCountry","2023.01 Month","98.2335662",
"Total","TheWholeCountry","2023.02 Month","97.10790976",
"Total","TheWholeCountry","2023.03 Month","96.34640819",
"Total","TheWholeCountry","2023.04 Month","95.89740291",
"Total","TheWholeCountry","2023.05 Month","95.68618947",
"Total","TheWholeCountry","2023.06 Month","95.63459488",
"Total","TheWholeCountry","2023.07 Month","95.66082943",
"Total","TheWholeCountry","2023.08 Month","95.80974121",
"Total","TheWholeCountry","2023.09 Month","96.04961444",
"Total","TheWholeCountry","2023.10 Month","96.24235212",
"Total","TheWholeCountry","2023.11 Month","96.27707003",
"Total","TheWholeCountry","2023.12 Month","96.17770118",
"Total","TheWholeCountry","2024.01 Month","96.04017992",
"Total","TheWholeCountry","2024.02 Month","95.90192663",
"Total","TheWholeCountry","2024.03 Month","95.78683096",
"Total","TheWholeCountry","2024.04 Month","95.73790935",
"Total","TheWholeCountry","2024.05 Month","95.71735078",
"Total","TheWholeCountry","2024.06 Month","95.75427614",
"Total","TheWholeCountry","2024.07 Month","95.89980579",
"Total","TheWholeCountry","2024.08 Month","96.12914525",
"Total","TheWholeCountry","2024.09 Month","96.29618613",
"Total","TheWholeCountry","2024.10 Month","96.36714121",
"Total","TheWholeCountry","2024.11 Month","96.37408597",
"Total","TheWholeCountry","2024.12 Month","96.30494577",
"Total","TheWholeCountry","2025.01 Month","96.20897892",
"Total","TheWholeCountry","2025.02 Month","96.15490165",
"Total","TheWholeCountry","2025.03 Month","96.1686227",
"Total","SeoulMetropolitanArea","2020.12 Month","94.00129462",
"Total","SeoulMetropolitanArea","2021.01 Month","94.75738133",
"Total","SeoulMetropolitanArea","2021.02 Month","95.86519219",
"Total","SeoulMetropolitanArea","2021.03 Month","96.78463743",
"Total","SeoulMetropolitanArea","2021.04 Month","97.66885172",
"Total","SeoulMetropolitanArea","2021.05 Month","98.50787359",
"Total","SeoulMetropolitanArea","2021.06 Month","100",
"Total","SeoulMetropolitanArea","2021.07 Month","101.1702357",
"Total","SeoulMetropolitanArea","2021.08 Month","102.4717309",
"Total","SeoulMetropolitanArea","2021.09 Month","103.7442288",
"Total","SeoulMetropolitanArea","2021.10 Month","104.9159351",
"Total","SeoulMetropolitanArea","2021.11 Month","105.71558",
"Total","SeoulMetropolitanArea","2021.12 Month","106.0654445",
"Total","SeoulMetropolitanArea","2022.01 Month","106.1238693",
"Total","SeoulMetropolitanArea","2022.02 Month","106.0964713",
"Total","SeoulMetropolitanArea","2022.03 Month","106.0544963",
"Total","SeoulMetropolitanArea","2022.04 Month","106.0853914",
"Total","SeoulMetropolitanArea","2022.05 Month","106.0472819",
"Total","SeoulMetropolitanArea","2022.06 Month","106.000446",
"Total","SeoulMetropolitanArea","2022.07 Month","105.8472457",
"Total","SeoulMetropolitanArea","2022.08 Month","105.4214581",
"Total","SeoulMetropolitanArea","2022.09 Month","104.7424006",
"Total","SeoulMetropolitanArea","2022.10 Month","103.6747043",
"Total","SeoulMetropolitanArea","2022.11 Month","101.8386845",
"Total","SeoulMetropolitanArea","2022.12 Month","99.19405123",
"Total","SeoulMetropolitanArea","2023.01 Month","97.34777006",
"Total","SeoulMetropolitanArea","2023.02 Month","96.00644814",
"Total","SeoulMetropolitanArea","2023.03 Month","95.15108741",
"Total","SeoulMetropolitanArea","2023.04 Month","94.68880781",
"Total","SeoulMetropolitanArea","2023.05 Month","94.52167618",
"Total","SeoulMetropolitanArea","2023.06 Month","94.54965894",
"Total","SeoulMetropolitanArea","2023.07 Month","94.6926461",
"Total","SeoulMetropolitanArea","2023.08 Month","94.97693357",
"Total","SeoulMetropolitanArea","2023.09 Month","95.37360321",
"Total","SeoulMetropolitanArea","2023.10 Month","95.68197592",
"Total","SeoulMetropolitanArea","2023.11 Month","95.73493713",
"Total","SeoulMetropolitanArea","2023.12 Month","95.60443653",
"Total","SeoulMetropolitanArea","2024.01 Month","95.43055357",
"Total","SeoulMetropolitanArea","2024.02 Month","95.28577811",
"Total","SeoulMetropolitanArea","2024.03 Month","95.183774",
"Total","SeoulMetropolitanArea","2024.04 Month","95.17277587",
"Total","SeoulMetropolitanArea","2024.05 Month","95.18772061",
"Total","SeoulMetropolitanArea","2024.06 Month","95.36455243",
"Total","SeoulMetropolitanArea","2024.07 Month","95.74873585",
"Total","SeoulMetropolitanArea","2024.08 Month","96.26069266",
"Total","SeoulMetropolitanArea","2024.09 Month","96.63751417",
"Total","SeoulMetropolitanArea","2024.10 Month","96.84718346",
"Total","SeoulMetropolitanArea","2024.11 Month","96.95011361",
"Total","SeoulMetropolitanArea","2024.12 Month","96.94634431",
"Total","SeoulMetropolitanArea","2025.01 Month","96.88847437",
"Total","SeoulMetropolitanArea","2025.02 Month","96.87699996",
"Total","SeoulMetropolitanArea","2025.03 Month","97.02671478",
"Total","Non-SeoulMetropolitanArea","2020.12 Month","96.24118934",
"Total","Non-SeoulMetropolitanArea","2021.01 Month","96.99026077",
"Total","Non-SeoulMetropolitanArea","2021.02 Month","97.61555138",
"Total","Non-SeoulMetropolitanArea","2021.03 Month","98.13442064",
"Total","Non-SeoulMetropolitanArea","2021.04 Month","98.64114074",
"Total","Non-SeoulMetropolitanArea","2021.05 Month","99.18622871",
"Total","Non-SeoulMetropolitanArea","2021.06 Month","100",
"Total","Non-SeoulMetropolitanArea","2021.07 Month","100.5706905",
"Total","Non-SeoulMetropolitanArea","2021.08 Month","101.2486576",
"Total","Non-SeoulMetropolitanArea","2021.09 Month","101.8822722",
"Total","Non-SeoulMetropolitanArea","2021.10 Month","102.5613794",
"Total","Non-SeoulMetropolitanArea","2021.11 Month","103.0858463",
"Total","Non-SeoulMetropolitanArea","2021.12 Month","103.3422928",
"Total","Non-SeoulMetropolitanArea","2022.01 Month","103.4829256",
"Total","Non-SeoulMetropolitanArea","2022.02 Month","103.564452",
"Total","Non-SeoulMetropolitanArea","2022.03 Month","103.634568",
"Total","Non-SeoulMetropolitanArea","2022.04 Month","103.7226886",
"Total","Non-SeoulMetropolitanArea","2022.05 Month","103.7828791",
"Total","Non-SeoulMetropolitanArea","2022.06 Month","103.8110132",
"Total","Non-SeoulMetropolitanArea","2022.07 Month","103.7969385",
"Total","Non-SeoulMetropolitanArea","2022.08 Month","103.6085245",
"Total","Non-SeoulMetropolitanArea","2022.09 Month","103.2483992",
"Total","Non-SeoulMetropolitanArea","2022.10 Month","102.6817093",
"Total","Non-SeoulMetropolitanArea","2022.11 Month","101.644873",
"Total","Non-SeoulMetropolitanArea","2022.12 Month","100.1984434",
"Total","Non-SeoulMetropolitanArea","2023.01 Month","99.04322322",
"Total","Non-SeoulMetropolitanArea","2023.02 Month","98.12180121",
"Total","Non-SeoulMetropolitanArea","2023.03 Month","97.44958146",
