"By the item of monthly income & expenditure of household",2003.1/4,2003.1/4,2003.1/4,2003.2/4,2003.2/4,2003.2/4,2003.3/4,2003.3/4,2003.3/4,2003.4/4,2003.4/4,2003.4/4,2004.1/4,2004.1/4,2004.1/4,2004.2/4,2004.2/4,2004.2/4,2004.3/4,2004.3/4,2004.3/4,2004.4/4,2004.4/4,2004.4/4,2005.1/4,2005.1/4,2005.1/4,2005.2/4,2005.2/4,2005.2/4,2005.3/4,2005.3/4,2005.3/4,2005.4/4,2005.4/4,2005.4/4,2006.1/4,2006.1/4,2006.1/4,2006.2/4,2006.2/4,2006.2/4,2006.3/4,2006.3/4,2006.3/4,2006.4/4,2006.4/4,2006.4/4,2007.1/4,2007.1/4,2007.1/4,2007.2/4,2007.2/4,2007.2/4,2007.3/4,2007.3/4,2007.3/4,2007.4/4,2007.4/4,2007.4/4,2008.1/4,2008.1/4,2008.1/4,2008.2/4,2008.2/4,2008.2/4,2008.3/4,2008.3/4,2008.3/4,2008.4/4,2008.4/4,2008.4/4,2009.1/4,2009.1/4,2009.1/4,2009.2/4,2009.2/4,2009.2/4,2009.3/4,2009.3/4,2009.3/4,2009.4/4,2009.4/4,2009.4/4,2010.1/4,2010.1/4,2010.1/4,2010.2/4,2010.2/4,2010.2/4,2010.3/4,2010.3/4,2010.3/4,2010.4/4,2010.4/4,2010.4/4,2011.1/4,2011.1/4,2011.1/4,2011.2/4,2011.2/4,2011.2/4,2011.3/4,2011.3/4,2011.3/4,2011.4/4,2011.4/4,2011.4/4,2012.1/4,2012.1/4,2012.1/4,2012.2/4,2012.2/4,2012.2/4,2012.3/4,2012.3/4,2012.3/4,2012.4/4,2012.4/4,2012.4/4,2013.1/4,2013.1/4,2013.1/4,2013.2/4,2013.2/4,2013.2/4,2013.3/4,2013.3/4,2013.3/4,2013.4/4,2013.4/4,2013.4/4,2014.1/4,2014.1/4,2014.1/4,2014.2/4,2014.2/4,2014.2/4,2014.3/4,2014.3/4,2014.3/4,2014.4/4,2014.4/4,2014.4/4,2015.1/4,2015.1/4,2015.1/4,2015.2/4,2015.2/4,2015.2/4,2015.3/4,2015.3/4,2015.3/4,2015.4/4,2015.4/4,2015.4/4,2016.1/4,2016.1/4,2016.1/4,2016.2/4,2016.2/4,2016.2/4,2016.3/4,2016.3/4,2016.3/4,2016.4/4,2016.4/4,2016.4/4,2017.1/4,2017.1/4,2017.1/4,2017.2/4,2017.2/4,2017.2/4,2017.3/4,2017.3/4,2017.3/4,2017.4/4,2017.4/4,2017.4/4,2018.1/4,2018.1/4,2018.1/4,2018.2/4,2018.2/4,2018.2/4,2018.3/4,2018.3/4,2018.3/4,2018.4/4,2018.4/4,2018.4/4,2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4
"By the item of monthly income & expenditure of household",All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households,All households,Salary & wage earners' households,Other households
"The number of hosehold members (Person)",3.46,3.53,3.37,3.45,3.51,3.36,3.44,3.50,3.36,3.44,3.50,3.36,3.41,3.48,3.31,3.39,3.44,3.32,3.38,3.44,3.30,3.38,3.43,3.30,3.37,3.43,3.28,3.36,3.43,3.26,3.33,3.40,3.24,3.33,3.40,3.22,3.35,3.42,3.24,3.30,3.37,3.19,3.29,3.37,3.18,3.29,3.37,3.18,3.26,3.36,3.14,3.27,3.34,3.17,3.27,3.36,3.15,3.27,3.36,3.14,3.33,3.44,3.18,3.34,3.44,3.19,3.33,3.44,3.18,3.35,3.46,3.20,3.33,3.43,3.18,3.34,3.43,3.20,3.33,3.44,3.19,3.35,3.44,3.20,3.31,3.43,3.13,3.32,3.42,3.18,3.31,3.40,3.16,3.32,3.43,3.15,3.28,3.39,3.12,3.29,3.37,3.16,3.28,3.36,3.16,3.29,3.38,3.15,3.27,3.38,3.11,3.29,3.38,3.12,3.27,3.38,3.10,3.29,3.40,3.10,3.24,3.37,3.04,3.26,3.37,3.08,3.26,3.38,3.07,3.27,3.38,3.08,3.21,3.33,3.00,3.22,3.32,3.04,3.21,3.31,3.04,3.22,3.32,3.04,3.17,3.28,2.97,3.18,3.27,3.01,3.17,3.26,3.00,3.18,3.27,3.01,3.13,3.24,2.95,3.13,3.25,2.94,3.13,3.24,2.96,3.14,3.25,2.95,3.10,3.23,2.89,3.11,3.21,2.94,3.10,3.18,2.95,3.11,3.20,2.96,3.07,3.21,2.88,3.07,3.19,2.90,3.07,3.18,2.91,3.08,3.20,2.91,3.05,3.18,2.86,3.06,3.18,2.88,3.05,3.18,2.86,3.06,3.19,2.87
"Age of household's head (Age)",44.78,41.81,48.85,44.90,42.00,49.06,45.05,42.36,48.77,45.20,42.37,49.22,45.48,42.68,49.40,45.60,42.82,49.59,45.81,42.91,49.82,46.28,43.34,50.44,46.30,43.27,50.40,46.38,43.52,50.48,46.56,43.37,50.99,46.77,43.70,51.04,46.81,43.68,51.09,46.94,43.85,51.43,47.10,43.85,51.67,47.37,44.05,51.94,47.61,44.05,52.31,47.58,44.17,52.34,47.69,44.23,52.62,47.93,44.33,52.99,47.81,44.06,52.98,47.68,44.31,52.53,47.82,44.32,52.83,47.80,44.17,53.16,47.90,44.18,53.35,47.90,44.38,53.07,47.89,44.67,52.66,47.93,44.82,52.70,48.02,44.46,53.12,48.08,45.02,52.85,48.40,45.29,53.27,48.42,45.05,53.49,48.52,44.85,53.97,48.75,45.53,53.77,48.74,45.40,54.00,48.89,45.57,54.23,49.00,45.36,54.69,49.06,45.95,54.18,49.11,46.03,54.23,49.12,45.82,54.58,49.38,45.91,54.83,49.42,46.18,54.84,49.44,46.23,54.97,49.54,46.23,55.23,49.74,46.02,55.75,49.54,46.22,55.30,49.66,46.23,55.64,49.83,46.42,55.88,50.06,46.08,56.75,50.30,46.91,56.25,50.28,47.00,55.98,50.51,47.26,56.25,50.89,47.09,56.97,51.21,47.90,56.87,51.14,47.86,56.66,51.17,47.95,56.53,51.46,47.61,57.67,51.59,48.52,56.90,51.76,48.70,56.95,51.91,48.86,57.01,52.65,48.41,58.67,52.77,48.96,58.45,52.97,49.25,58.40,53.18,49.32,58.79,53.39,49.25,59.15,53.41,49.64,59.00,53.51,49.73,59.08,53.68,49.92,59.30
"Distribution of households (%)",100.00,57.76,42.24,100.00,58.95,41.05,100.00,58.11,41.89,100.00,58.75,41.25,100.00,58.28,41.73,100.00,59.04,40.96,100.00,57.92,42.08,100.00,58.67,41.33,100.00,57.51,42.49,100.00,58.88,41.12,100.00,58.09,41.92,100.00,58.13,41.87,100.00,57.67,42.34,100.00,59.18,40.82,100.00,58.39,41.61,100.00,57.91,42.09,100.00,56.92,43.08,100.00,58.34,41.66,100.00,58.70,41.30,100.00,58.44,41.56,100.00,57.89,42.11,100.00,58.96,41.04,100.00,58.89,41.11,100.00,59.59,40.41,100.00,59.41,40.59,100.00,59.54,40.46,100.00,59.69,40.31,100.00,60.57,39.43,100.00,58.96,41.04,100.00,60.93,39.07,100.00,61.02,38.98,100.00,60.11,39.89,100.00,59.74,40.27,100.00,61.01,38.99,100.00,61.24,38.76,100.00,61.66,38.35,100.00,61.02,38.98,100.00,62.28,37.73,100.00,62.41,37.59,100.00,62.28,37.72,100.00,61.10,38.90,100.00,62.55,37.45,100.00,63.27,36.73,100.00,63.28,36.72,100.00,61.76,38.24,100.00,63.44,36.57,100.00,63.62,36.38,100.00,63.96,36.04,100.00,62.63,37.37,100.00,63.72,36.28,100.00,63.46,36.54,100.00,63.78,36.22,100.00,61.51,38.49,100.00,63.10,36.90,100.00,62.68,37.32,100.00,62.45,37.56,100.00,61.69,38.31,100.00,63.44,36.56,100.00,62.94,37.06,100.00,62.59,37.41,100.00,58.62,41.38,100.00,59.81,40.19,100.00,59.33,40.67,100.00,59.23,40.77,100.00,58.13,41.87,100.00,59.74,40.26,100.00,59.50,40.51,100.00,59.93,40.07
"Income (Won)",2582089,2845840,2221416,2558371,2788401,2228076,2672267,2964442,2266949,2709546,2961407,2350896,2757680,3061038,2333988,2717095,2937801,2399017,2863118,3195745,2405224,2815951,3095824,2418622,2907714,3278085,2406481,2837566,3098202,2464377,2919518,3265940,2439447,2928678,3266067,2460257,3033424,3424062,2501336,2965551,3289252,2496216,3033176,3428327,2478607,3134298,3539338,2577058,3214433,3694398,2580297,3074534,3419381,2591673,3255649,3677964,2655311,3248737,3652219,2681333,3429714,3961769,2698313,3280709,3688259,2695135,3477986,3927038,2834737,3371354,3771550,2781209,3472233,3959915,2758499,3295793,3653089,2770071,3449739,3845883,2863134,3535919,3873425,3017411,3727954,4172013,3090111,3545153,3845905,3076116,3660223,3994403,3137124,3620365,3955663,3115133,3857626,4334355,3150384,3713476,4035209,3210083,3897609,4288742,3279543,3883351,4222024,3338808,4123524,4634950,3322785,3942286,4262401,3413853,4141859,4542005,3477609,4092551,4481154,3450865,4192558,4743109,3327672,4040630,4420343,3406504,4259920,4708303,3487549,4163223,4568281,3465178,4403278,4955345,3511582,4152171,4514663,3523313,4387554,4803171,3660871,4264132,4666935,3549273,4517282,5051084,3622824,4270567,4628505,3641893,4416469,4861702,3643362,4301574,4689379,3618555,4555219,5151118,3602817,4306412,4726952,3587208,4445435,4942837,3610077,4312029,4777570,3537942,4593284,5251482,3533374,4346509,4708183,3718947,4537192,5028695,3702504,4445156,4873549,3728516,4762959,5584004,3599960,4530510,5071197,3725995,4747913,5407016,3786378,4606125,5209170,3729921,4826323,5608362,3740508,4704176,5296373,3825333,4876856,5609633,3800549,4771921,5411583,3815300
"Current income (Won)",2475726,2729196,2129112,2466548,2684317,2153857,2586630,2877193,2183548,2608046,2861111,2247681,2626828,2917406,2220985,2631979,2861111,2301756,2750177,3074206,2304118,2709791,2986605,2316805,2760558,3105854,2293261,2726732,3002222,2332274,2823903,3170315,2343848,2804259,3144122,2332403,2859415,3229170,2355771,2848533,3166622,2387337,2943067,3335002,2393012,2982810,3389531,2423259,3050297,3520652,2428859,2963509,3316168,2469710,3133477,3560914,2525859,3094033,3501622,2520853,3264825,3768610,2572285,3161998,3556367,2595363,3344439,3802309,2688558,3244160,3633346,2670251,3280679,3734645,2616289,3180007,3525601,2671502,3347398,3725814,2787045,3389070,3714592,2888972,3516642,4009320,2808962,3418833,3714337,2957979,3559161,3903666,3019900,3498722,3840328,2983984,3675807,4134246,2995698,3577874,3911776,3055441,3784693,4192413,3140416,3769592,4104425,3231223,3946269,4464540,3134811,3800243,4130236,3255502,4008962,4430890,3308552,3973959,4362946,3331638,4030354,4573298,3177418,3913794,4287854,3289107,4120581,4577850,3332905,4041008,4436737,3359041,4207243,4766736,3303553,4025850,4396783,3382348,4245111,4679624,3485388,4131977,4536224,3414556,4325406,4867168,3417613,4111541,4450561,3516092,4280676,4712419,3530994,4175704,4563601,3492523,4358898,4952188,3410666,4181423,4602307,3461632,4341373,4849563,3487894,4216275,4683467,3439442,4393667,5044807,3345123,4226579,4624915,3535400,4451898,4950335,3605434,4360606,4794936,3634036,4721445,5536859,3566423,4492900,5041351,3676833,4704939,5364390,3742897,4568356,5188156,3667805,4802876,5592397,3706673,4683345,5278251,3800482,4861134,5597856,3779032,4751810,5396956,3786988
"Wage and salary income (Won)",1607243,2482071,410940,1612305,2454080,403616,1719598,2640004,442772,1707657,2610599,421865,1727889,2647784,443098,1716582,2593369,452970,1831153,2802062,494599,1771009,2689113,467599,1789154,2758006,477984,1784862,2695743,480628,1866014,2858633,490448,1827574,2811734,461199,1865810,2884382,478411,1877139,2845501,473108,1969109,3028465,482372,1969916,3065146,463140,2008588,3155636,493094,1960362,3000424,504052,2122576,3225786,554318,2075970,3165757,543437,2209301,3396741,576962,2127341,3212400,568314,2284922,3450171,615751,2207827,3306253,588041,2248533,3344912,643959,2156224,3204261,614147,2274421,3377923,640374,2289321,3365070,636655,2360089,3567645,625562,2279073,3335998,630749,2423781,3529444,693061,2351510,3463515,675921,2486176,3701290,683517,2387981,3494050,657388,2573557,3767056,687597,2533334,3661821,718869,2691031,3950563,718980,2566723,3687435,716692,2775382,3998335,745252,2719469,3938267,706908,2758325,4084968,674241,2652886,3831337,684850,2866488,4123905,700500,2778075,3993090,684212,2903452,4270075,696089,2761481,3941223,714840,2961294,4210074,777872,2869226,4063795,749208,3013811,4327086,813245,2809665,3958237,792340,2963169,4200586,814507,2894817,4098086,775566,3021838,4415006,795197,2862885,4091774,761251,3019264,4350828,782974,2905781,4195578,761145,3021516,4438614,739535,2877789,4086401,780652,3066965,4401796,800104,2931672,4209208,794542,3204721,4854730,867505,3031393,4478713,877854,3206056,4760775,937949,3114724,4613194,937494,3220792,4853183,954314,3169168,4648329,974038,3360953,4936859,1046253,3296610,4795157,1055518
"Business income (Won)",683567,137839,1429835,671426,137094,1438663,670673,134735,1414148,699697,142849,1492651,679516,140673,1432104,703589,140607,1514949,694061,141426,1454819,704351,152613,1487642,694882,152154,1429369,703752,159450,1483103,703550,150530,1469922,722043,170007,1488473,724055,165156,1485331,711263,161413,1508493,716057,152743,1506632,735068,158615,1528130,716324,153102,1460458,726923,149754,1535083,721828,153820,1529274,732610,152019,1549078,733244,155061,1528055,746406,152713,1599433,745016,151464,1595257,726453,137136,1595485,705610,145424,1525453,730332,138779,1600740,762542,154123,1663479,798405,166565,1769097,793135,176663,1678631,812416,166988,1818992,807158,163717,1814352,817979,170043,1794300,812498,169087,1767017,835493,174619,1869520,846431,175404,1906784,868976,178125,1979779,833907,190200,1841761,856601,186233,1963219,850011,176801,1967555,873746,171311,2033653,834846,174766,1871796,866444,198839,1981356,856373,189239,2005556,876815,188889,2062334,861439,179386,1963089,872366,179615,2074164,866378,181389,2064043,846822,177795,2034155,821553,172009,1909951,854096,185122,2029066,852939,188149,2007287,850284,175904,2038033,848623,186965,1906124,856198,186562,2001402,862446,176566,2014344,868870,184381,2007018,856071,206348,1902332,891494,204383,2083744,915875,218659,2099912,942924,237542,2122924,904841,212076,1886134,925031,209674,1989446,925613,224676,1948177,911305,223136,1911193,892180,199393,1854073,908517,213727,1939611,879825,216135,1854656,891599,217091,1900333
"Property Income (Won)",15079,8757,23723,19623,13723,28094,17604,11256,26409,17097,11820,24613,17064,9648,27421,15869,10731,23274,15258,9908,22623,18172,13379,24977,18672,15513,22948,15299,12657,19082,14742,11388,19390,15710,11219,21946,14913,11192,19980,14020,9626,20392,14778,9765,21813,17114,14823,20265,21242,16717,27220,17904,12275,25786,16759,13237,21765,17848,13086,24545,20821,15344,28350,17427,12608,24350,18270,13074,25713,16107,11098,23494,19552,16240,24399,15408,12527,19647,14373,13584,15542,11456,10491,12939,16377,16468,16246,13665,12500,15482,12265,10135,15599,15424,12527,19791,18628,14770,24352,16063,12972,20900,14818,10385,21822,15432,11844,21199,19325,16292,24073,21214,16875,28376,20463,13577,31894,22346,16830,31455,22492,12207,38650,20337,12887,32778,17864,11504,28820,20229,15472,28426,20101,16162,26465,18147,14560,24369,19053,14390,27205,21536,14860,33385,23690,14505,39082,16999,12283,25282,20547,17587,25687,17619,13760,24416,18725,13758,26664,15336,11946,21134,14002,10646,19637,16841,10805,26878,21578,18140,27113,17315,13413,24086,18820,11982,30431,18449,11126,30701,22317,14248,33747,23273,16030,34050,20563,13584,30745,19353,11321,31024,16511,10496,24862,24909,15713,38557,20051,11968,31923,21490,14891,31358
"Transfer income (Won)",169838,100530,264614,163194,79420,283484,178755,91197,300219,183595,95844,308553,202358,119300,318362,195939,116404,310563,209704,120810,332077,216259,131501,336588,257850,180182,362960,222819,134372,349461,239598,149764,364088,238931,151162,360786,254638,168440,372048,246111,150082,385344,243124,144030,382195,260712,150947,411724,304144,195196,448087,258320,153714,404790,272315,168070,420502,267604,170760,403793,301459,201465,438919,270824,178647,403266,296229,187600,451837,293773,178859,463231,306984,228070,422477,278043,170034,436968,296061,180184,467650,289887,172466,470281,347042,248543,488524,313678,198851,492756,315957,200370,496888,313808,194243,493972,358505,249099,520811,338337,230135,507633,349888,239569,524213,351851,252636,511377,402006,307485,549997,355705,239692,547216,363106,242176,563852,358398,236537,559622,414691,301357,592732,374128,244791,590123,379856,253201,598029,365890,239286,584069,422250,301113,617910,373858,261386,568975,398386,273772,616267,394393,279775,597808,466352,353568,655335,430781,294920,669405,444021,306097,683513,412984,275851,654508,469711,336459,682681,447004,312024,677844,445661,311523,670939,424783,292703,644400,494502,381705,676143,439980,320719,646918,450239,317897,674986,467561,337060,685869,589566,455805,779037,513203,336934,775483,552707,365356,826025,522974,340505,788095,673393,529324,873423,580751,400481,848277,600305,432894,846200,542111,369817,799779
