"Region","By Housing Type","By Housing Size",2007.12,2008.01,2008.02,2008.03,2008.04,2008.05,2008.06,2008.07,2008.08,2008.09,2008.10,2008.11,2008.12,2009.01,2009.02,2009.03,2009.04,2009.05,2009.06,2009.07,2009.08,2009.09,2009.10,2009.11,2009.12,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12
"Whole Country","Total","Large",99.3,99.4,99.5,99.9,100.1,100.3,100.5,100.6,100.6,100.6,100.3,99.6,98.6,97.8,97.5,97.2,97.2,97.3,97.5,97.8,97.9,98.3,98.5,98.7,98.7,98.8,98.9,99.0,99.0,98.8,98.5,98.2,97.9,97.8,97.9,98.0,98.2,98.5,98.9,99.3,99.6,99.8,100.0,100.1,100.2,100.4,100.5,100.6,100.6,100.5,100.5,100.3,100.1,100.0,99.8,99.5,99.2,98.8,98.4,98.1,97.9
"Whole Country","Total","Medium",90.5,90.6,90.8,91.3,91.9,92.3,92.7,93.0,93.1,93.3,93.2,92.8,92.1,91.4,91.2,91.0,91.0,91.2,91.4,91.7,91.9,92.6,92.9,93.2,93.3,93.5,93.8,94.0,94.2,94.2,94.3,94.2,94.2,94.3,94.5,94.9,95.4,95.9,96.7,97.7,98.6,99.4,100.0,100.5,101.0,101.6,102.0,102.4,102.6,102.7,102.9,103.1,103.2,103.2,103.2,103.0,102.9,102.7,102.6,102.5,102.4
"Whole Country","Total","Small",85.9,86.3,86.7,87.7,89.0,89.8,90.6,91.2,91.5,91.8,91.9,91.7,91.1,90.7,90.5,90.4,90.5,90.6,90.8,91.1,91.5,92.3,92.7,93.0,93.1,93.3,93.6,93.9,94.1,94.2,94.3,94.3,94.3,94.4,94.6,95.0,95.4,95.9,96.7,97.8,98.7,99.5,100.0,100.5,101.1,101.7,102.2,102.7,102.9,103.2,103.4,103.7,103.9,104.0,104.1,104.0,104.0,103.9,103.9,103.9,103.9
"Whole Country","Apartments","Large",102.1,102.1,102.1,102.1,102.3,102.4,102.4,102.3,102.1,102.0,101.5,100.5,99.1,98.2,97.8,97.3,97.3,97.4,97.6,97.9,98.1,98.6,98.8,99.0,99.0,99.1,99.2,99.3,99.1,98.9,98.4,97.9,97.5,97.3,97.4,97.5,97.8,98.1,98.6,99.2,99.6,99.8,100.0,100.1,100.2,100.4,100.5,100.5,100.4,100.3,100.2,99.9,99.6,99.4,99.1,98.6,98.3,97.6,97.1,96.7,96.4
"Whole Country","Apartments","Medium",90.5,90.6,90.7,91.0,91.5,91.9,92.2,92.4,92.5,92.6,92.5,92.0,91.2,90.5,90.3,90.0,90.1,90.2,90.4,90.7,91.0,91.7,92.0,92.3,92.4,92.6,92.9,93.1,93.3,93.4,93.3,93.2,93.2,93.3,93.6,94.0,94.6,95.2,96.1,97.2,98.4,99.3,100.0,100.5,101.2,101.8,102.3,102.8,103.0,103.2,103.4,103.5,103.6,103.6,103.6,103.4,103.2,103.1,102.8,102.7,102.6
"Whole Country","Apartments","Small",82.0,82.3,82.7,83.6,85.0,85.8,86.6,87.1,87.3,87.6,87.7,87.4,86.8,86.3,86.1,86.0,86.1,86.2,86.4,86.7,87.1,88.0,88.5,88.9,89.1,89.2,89.7,90.1,90.3,90.5,90.6,90.7,90.8,91.0,91.3,92.0,92.7,93.4,94.7,96.4,97.8,99.1,100.0,100.8,101.8,102.7,103.5,104.4,104.7,105.1,105.4,105.8,106.2,106.3,106.4,106.3,106.3,106.2,106.2,106.2,106.2
"Seoul","Total","Large",-,-,-,101.5,102.2,102.6,102.9,103.1,103.1,103.2,102.9,102.3,100.8,99.9,99.9,99.6,99.8,99.9,100.4,101.0,101.4,102.1,102.4,102.4,102.4,102.5,102.8,102.7,102.6,102.1,101.7,101.1,100.6,100.4,100.3,100.1,100.1,100.2,100.3,100.4,100.3,100.2,100.0,99.8,99.6,99.4,99.2,98.9,98.7,98.5,98.3,98.0,97.4,97.1,96.8,96.1,95.6,94.9,94.3,93.8,93.4
"Seoul","Total","Medium",95.4,95.9,96.4,97.4,98.5,99.3,100.1,100.4,100.6,100.7,100.6,100.1,98.9,98.1,98.0,97.8,98.0,98.1,98.4,99.1,99.5,100.6,101.0,101.1,101.1,101.1,101.3,101.4,101.3,101.1,100.7,100.3,99.9,99.7,99.5,99.4,99.5,99.6,99.9,100.0,100.1,100.1,100.0,99.9,99.8,99.8,99.7,99.6,99.4,99.3,99.2,99.0,98.7,98.5,98.3,97.8,97.5,97.1,96.6,96.3,96.0
"Seoul","Total","Small",88.5,89.3,90.2,92.3,94.8,96.0,96.8,97.4,97.6,97.9,97.8,97.4,96.2,95.8,95.7,95.6,95.8,96.0,96.4,97.1,97.7,99.1,99.6,99.7,99.7,99.9,100.1,100.2,100.2,100.0,99.8,99.5,99.3,99.2,99.1,99.1,99.2,99.3,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.9,99.7,99.7,99.6,99.3,99.1,98.8,98.6,98.4,98.3
