"Classification of Si, Do(1)","Classification of Income(1)",2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019
"Classification of Si, Do(1)","Classification of Income(1)",(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Free,Total
"Whole Country","Total",55.6,22.4,15.3,2.1,1.6,3.1,100.0,56.4,22.3,14.8,1.9,1.5,3.0,100.0,54.3,21.7,18.2,2.0,1.3,2.7,100.0,53.8,21.8,18.6,2.7,0.3,2.8,100.0,53.6,19.6,21.8,1.4,0.7,2.8,100.0,56.8,15.5,20.3,2.7,0.7,4.0,100.0,57.7,15.2,19.9,2.6,0.8,3.9,100.0,57.7,15.2,19.8,3.3,0.0,4.0,100.0,58.0,15.1,19.7,3.3,3.9,100.0
"Whole Country","Low-Income Group",49.7,18.8,20.3,4.0,3.1,4.1,100.0,51.9,16.8,20.5,3.8,2.7,4.3,100.0,46.9,16.8,25.8,4.1,2.8,3.7,100.0,50.5,13.8,26.4,4.9,0.7,3.8,100.0,47.5,14.2,29.4,2.9,1.7,4.2,100.0,46.2,12.9,28.7,5.2,1.4,5.6,100.0,47.5,11.5,28.9,5.3,1.6,5.1,100.0,47.2,11.6,29.1,6.6,0.0,5.4,100.0,46.4,10.9,29.5,7.2,5.9,100.0
"Whole Country","Middle-Income Group",55.3,26.5,14.2,0.8,0.7,2.5,100.0,54.7,27.8,13.4,0.9,0.8,2.4,100.0,54.0,25.1,17.1,1.0,0.6,2.3,100.0,51.8,26.9,16.9,1.6,0.1,2.7,100.0,52.2,23.3,21.4,0.6,0.2,2.3,100.0,59.4,18.1,17.8,1.1,0.3,3.4,100.0,60.2,18.0,17.0,1.0,0.2,3.6,100.0,60.1,18.1,16.9,1.5,0.0,3.5,100.0,59.6,18.7,17.4,1.2,3.2,100.0
"Whole Country","High-Income Group",67.0,23.2,7.2,0.2,0.3,2.2,100.0,69.4,22.0,6.3,0.3,0.3,1.8,100.0,69.5,23.0,5.6,0.3,0.2,1.4,100.0,64.6,27.7,5.9,0.6,0.0,1.2,100.0,69.5,20.8,7.7,0.2,0.2,1.6,100.0,73.6,15.9,7.6,0.6,0.1,2.2,100.0,73.5,17.1,6.9,0.2,0.1,2.3,100.0,75.2,16.1,6.2,0.4,0.0,2.0,100.0,76.1,15.3,6.2,0.4,1.8,100.0
"Seoul Metropolitan Area","Total",50.2,29.7,16.3,1.5,0.2,2.0,100.0,50.7,29.6,16.1,1.2,0.2,2.2,100.0,46.6,29.4,20.0,1.6,0.5,1.8,100.0,45.7,29.3,20.8,2.1,0.1,2.0,100.0,45.9,28.1,22.7,1.2,0.1,2.0,100.0,48.9,22.1,22.5,2.7,0.0,3.7,100.0,49.7,21.6,22.1,2.9,0.0,3.7,100.0,49.9,21.5,22.0,3.0,0.0,3.7,100.0,50.0,21.5,21.9,3.0,3.7,100.0
"Seoul Metropolitan Area","Low-Income Group",38.6,28.2,26.5,3.7,0.5,2.6,100.0,42.4,24.0,27.4,2.6,0.5,3.1,100.0,33.7,25.7,32.8,4.0,1.4,2.4,100.0,37.8,18.6,35.3,4.8,0.2,3.3,100.0,35.3,22.9,35.1,3.2,0.4,3.1,100.0,33.9,20.4,34.6,5.4,0.1,5.6,100.0,35.9,17.8,34.5,6.9,0.0,4.9,100.0,35.2,18.5,34.3,6.6,0.0,5.4,100.0,34.2,17.1,35.3,7.4,6.0,100.0
"Seoul Metropolitan Area","Middle-Income Group",49.5,32.7,14.8,0.6,0.1,2.3,100.0,47.1,35.9,14.1,0.7,0.1,2.1,100.0,46.7,31.8,18.7,0.8,0.2,1.9,100.0,43.2,34.2,19.4,1.2,0.0,2.1,100.0,44.6,31.0,22.0,0.6,0.0,1.8,100.0,51.6,24.0,19.9,1.5,0.0,2.9,100.0,52.3,24.3,18.7,1.2,0.0,3.5,100.0,52.1,24.5,18.8,1.1,0.0,3.4,100.0,51.5,25.3,19.3,1.0,3.0,100.0
"Seoul Metropolitan Area","High-Income Group",64.7,27.7,6.4,0.1,0.1,1.0,100.0,65.8,26.3,6.3,0.3,0.2,1.2,100.0,63.6,29.4,5.7,0.2,0.0,1.1,100.0,58.7,33.9,6.3,0.6,0.0,0.5,100.0,62.8,28.0,7.8,0.2,0.0,1.2,100.0,67.9,21.4,7.9,0.6,0.0,2.2,100.0,66.4,22.8,8.6,0.1,0.0,2.1,100.0,69.5,20.8,7.6,0.3,0.0,1.8,100.0,70.2,20.4,7.3,0.4,1.8,100.0
"Metropolitan City Etc.","Total",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.2,11.7,21.8,3.1,0.0,3.1,100.0,60.4,11.7,21.7,3.1,3.1,100.0
"Metropolitan City Etc.","Low-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,9.0,36.5,6.3,0.0,4.1,100.0,42.8,9.4,36.6,7.0,4.2,100.0
"Metropolitan City Etc.","Middle-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.3,13.7,15.9,1.5,0.0,2.6,100.0,65.0,14.3,16.7,1.1,2.9,100.0
"Metropolitan City Etc.","High-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.4,13.0,4.2,0.2,0.0,2.2,100.0,83.1,10.4,4.7,0.2,1.7,100.0
