"Classification(1)","Classification(1)",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"unsold By sector","Total",0,0,0,0,0,0,112254,165599,123297,88706,69807,74835,61091,40379,61512,56413,57330,58838,47797,19005,17710,68107,62489,70173
"unsold By sector","Private Sector",0,0,0,0,0,0,110715,164293,122962,88706,69807,74835,61091,40379,61512,56413,57330,58838,47797,19005,17710,68107,62489,70173
"unsold By sector","Public Sector",0,0,0,0,0,0,1539,1306,335,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"unsold By sector","After Construction",0,0,0,0,0,0,17395,46476,50087,42655,30881,28778,21751,16267,10518,10011,11720,16738,18065,12006,7449,7518,10857,21480
"unsold By si-do","Whole Country",31512,24923,38261,69133,57215,73772,112254,165599,123297,88706,69807,74835,61091,40379,61512,56413,57330,58838,47797,19005,17710,68107,62489,70173
"unsold By si-do","Seoul",1771,52,735,612,574,529,454,2486,1803,2729,1861,3481,3157,1356,494,274,45,27,151,49,54,953,958,957
"unsold By si-do","Busan",3797,1936,3657,6895,5295,9009,11502,13997,9200,3458,4193,5784,4259,2060,1290,1171,1920,4153,2115,973,949,2640,2997,4720
"unsold By si-do","Daegu",1198,2250,4159,3250,3274,8732,12199,21379,16009,13163,8672,3288,1234,1013,2396,915,126,362,1790,280,1977,13445,10245,8807
"unsold By si-do","Incheon",329,17,467,1770,1196,426,527,1647,4539,4265,3642,4026,5275,3735,4206,3053,1549,1324,966,466,425,2494,3270,3086
"unsold By si-do","Gwangju",564,868,1870,5609,2156,6506,7940,12384,4678,1809,784,3348,323,247,735,554,707,58,148,31,27,291,596,1242
"unsold By si-do","Daejeon",1071,965,1069,2192,398,597,1881,3802,3101,2205,1557,1441,1146,444,1243,644,759,1183,724,638,460,3239,894,2319
"unsold By si-do","Ulsan",1693,3456,872,839,2089,996,7672,9569,7106,5575,3510,3659,3310,258,437,481,855,997,1269,468,397,3570,2941,4131
"unsold By si-do","Gyeonggi",7260,1318,6168,13076,10472,3769,13643,22795,19325,22418,22378,25040,24760,14723,25937,13362,8793,4968,5085,1616,1030,7588,5803,12954
"unsold By si-do","Sejong",-,-,-,-,-,-,-,-,-,-,-,0,54,433,16,0,0,0,0,0,30,6,122,61
"unsold By si-do","Gangwon-do",1309,1552,2785,3628,4491,5314,7114,10581,7157,3837,2244,4421,3055,3054,1876,3314,2816,5736,5945,3115,1648,2648,4001,4408
"unsold By si-do","Chungcheongbuk-do",956,1657,2021,4652,2011,2608,4374,6412,5128,3428,1031,585,599,931,3655,3989,4980,4560,1672,273,304,3225,3442,2192
"unsold By si-do","Chungcheongnam-do",2826,2270,3675,9715,6715,7764,12770,15918,14277,9020,7471,2942,3566,2838,9065,9323,11283,7763,5569,2510,1012,8509,5484,3814
"unsold By si-do","Jeollabuk-do",454,997,1437,4562,2483,5163,4082,4617,3498,1311,355,629,1470,1197,1227,2382,1881,1607,1043,661,133,2520,3075,2743
"unsold By si-do","Jeollanam-do",955,1031,1562,2133,3800,4515,4456,6530,5690,2504,1527,2478,1981,2981,1608,1245,627,1663,1857,1059,2163,3029,3618,3598
"unsold By si-do","Gyeongsangbuk-do",2253,3054,4104,2790,3316,5971,8662,16106,12808,8042,4110,3201,1405,2023,3802,7421,7630,8995,6122,2154,4386,7674,8862,6987
"unsold By si-do","Gyeongsangnam-do",4771,3306,3247,6954,8662,11784,14857,17107,8698,4780,6375,9558,4909,2962,3411,8014,12088,14147,12269,3617,1879,4600,3682,5347
"unsold By si-do","Jeju",305,194,433,456,283,89,121,269,280,162,97,954,588,124,114,271,1271,1295,1072,1095,836,1676,2499,2807
"unsold By si-do","capital area",-,-,-,-,-,-,-,-,25667,29412,27881,32547,33192,19814,30637,16689,10387,6319,6202,2131,1509,11035,10031,16997
"unsold By si-do","the provinces",-,-,-,-,-,-,-,-,97630,59294,41926,42288,27899,20565,30875,39724,46943,52519,41595,16874,16201,57072,52458,53176
"unsold By size","Total",0,0,0,0,0,0,112254,165599,123297,88706,69807,74835,61091,40379,61512,56413,57330,58838,47797,19005,17710,68107,62489,70173
"unsold By size","Under 60§³",0,0,0,0,0,0,5764,7294,5851,4703,4998,5509,6104,5932,9336,9128,9919,9308,9044,4640,-,-,-,-
"unsold By size","60-85§³",0,0,0,0,0,0,53528,69924,47834,29913,24523,37013,30885,21052,43690,40574,41709,44142,34920,13665,12502,50589,44429,50468
"unsold By size","Over 85§³",0,0,0,0,0,0,52962,88381,69612,54090,40286,32313,24102,13395,8486,6711,5702,5388,3833,700,1019,7092,8633,10348
"unsold By size","Under 40§³",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1710,2421,2228,2160
"unsold By size","40?60§³",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2479,8005,7199,7197
