,Province,Year,Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households
0,Whole country,2015,16367006,14151049,9806062,8194138
1,Whole country,2016,16692230,14525716,10029644,8428543
2,Whole country,2017,17122573,14973014,10375363,8702268
3,Whole country,2018,17633327,15328268,10826044,9037375
4,Whole country,2019,18126954,15701210,11287048,9384629
5,Whole country,2020,18525844,15982836,11661851,9655228
6,Whole country,2021,18811627,16257216,11948544,9932671
7,Whole country,2022,19155585,16447905,12268973,10143118
8,Whole country,2023,19546299,16759409,12631608,10409753
9,Seoul,2015,2793244,2484582,1636896,1379613
10,Seoul,2016,2830857,2536949,1641383,1400137
11,Seoul,2017,2866845,2554758,1665922,1410827
12,Seoul,2018,2894078,2573571,1679639,1423056
13,Seoul,2019,2953964,2605964,1720691,1447784
14,Seoul,2020,3015371,2643613,1772670,1481857
15,Seoul,2021,3068494,2684989,1818214,1522920
16,Seoul,2022,3111323,2709652,1851242,1545062
17,Seoul,2023,3155331,2727997,1886515,1559433
18,Busan,2015,1164352,1054274,738068,648941
19,Busan,2016,1174034,1063311,750122,667781
20,Busan,2017,1200422,1090758,776079,686702
21,Busan,2018,1220782,1102725,798281,703465
22,Busan,2019,1249757,1113204,831294,719565
23,Busan,2020,1275859,1129908,860042,740688
24,Busan,2021,1282831,1139338,872073,756451
25,Busan,2022,1308294,1150099,898404,769605
26,Busan,2023,1329355,1176449,920155,794945
27,Daegu,2015,738100,667611,509068,445367
28,Daegu,2016,761054,685300,532090,463429
29,Daegu,2017,783895,704901,555900,484171
30,Daegu,2018,792998,712956,567543,496547
31,Daegu,2019,800340,716231,579777,505039
32,Daegu,2020,809802,718203,595392,512834
33,Daegu,2021,815588,723024,605787,521258
34,Daegu,2022,834637,733323,627191,534244
35,Daegu,2023,876286,759381,658745,550316
36,Incheon,2015,942244,847142,577346,498966
37,Incheon,2016,958072,865923,588563,512536
38,Incheon,2017,969588,880755,597929,527063
39,Incheon,2018,997959,896083,624332,545118
40,Incheon,2019,1019365,909693,648403,563428
41,Incheon,2020,1032774,920462,661611,576858
42,Incheon,2021,1053451,932236,683337,592846
43,Incheon,2022,1087837,947397,717820,610949
44,Incheon,2023,1131300,973643,760435,636698
45,Gwangju,2015,486527,418798,376731,314850
46,Gwangju,2016,494547,426241,384750,322904
47,Gwangju,2017,505471,434083,395976,330863
48,Gwangju,2018,514767,441712,406329,340237
49,Gwangju,2019,526161,449864,419567,350625
50,Gwangju,2020,538275,453043,432295,355224
51,Gwangju,2021,542703,460280,438338,364441
52,Gwangju,2022,555185,467455,451265,372210
53,Gwangju,2023,560550,475172,456837,379997
54,Daejeon,2015,468885,417567,338250,292935
55,Daejeon,2016,474193,422560,343223,297514
56,Daejeon,2017,479161,421679,348033,296790
57,Daejeon,2018,486764,431181,355517,306580
58,Daejeon,2019,492797,433228,362190,310357
59,Daejeon,2020,496875,435193,367235,313960
60,Daejeon,2021,501218,438310,373590,319202
61,Daejeon,2022,510178,444383,383514,326462
62,Daejeon,2023,514123,450082,388467,332818
63,Ulsan,2015,357674,325256,253010,226036
64,Ulsan,2016,361273,332087,256003,232205
65,Ulsan,2017,371300,340057,264440,239612
66,Ulsan,2018,379741,347094,273230,249997
67,Ulsan,2019,391596,357671,286234,257781
68,Ulsan,2020,394634,363774,289432,264171
69,Ulsan,2021,396893,363980,291892,265153
70,Ulsan,2022,400155,364951,295539,266939
71,Ulsan,2023,405885,366922,301668,268977
72,Sejong,2015,81130,61873,62274,45029
73,Sejong,2016,86607,71329,67773,54072
74,Sejong,2017,104448,86033,85256,67908
75,Sejong,2018,118959,99021,99512,80703
76,Sejong,2019,132257,104450,112722,86045
77,Sejong,2020,136887,108583,117312,90232
78,Sejong,2021,143798,113398,124375,95088
79,Sejong,2022,150278,125990,130572,107663
80,Sejong,2023,153545,130486,133671,111901
81,Gyeonggi-do,2015,3693557,3227062,2502091,2116519
82,Gyeonggi-do,2016,3814834,3323094,2577259,2165590
83,Gyeonggi-do,2017,3949829,3432841,2676037,2239395
84,Gyeonggi-do,2018,4169100,3571108,2860249,2353988
