,Province,Year,Age,Total,Male,Female
0,Whole country,2012,Total,12032798,7047944,4984854
1,Whole country,2012,Under 30 years,282910,156530,126380
2,Whole country,2012,30-39 Years old,1941927,1123901,818026
3,Whole country,2012,40-49 Years old,3108057,1771633,1336424
4,Whole country,2012,50-59 Years old,3090353,1799567,1290786
5,Whole country,2012,60-69 Years old,1913052,1139882,773170
6,Whole country,2012,70-79 Years old,1156929,676314,480615
7,Whole country,2012,80 years and over,264280,147203,117077
8,Whole country,2012,dead,275290,232914,42376
9,Whole country,2013,Total,12398627,7205138,5193489
10,Whole country,2013,Under 30 years,252730,140344,112386
11,Whole country,2013,30-39 Years old,1876828,1088176,788652
12,Whole country,2013,40-49 Years old,3166585,1783058,1383527
13,Whole country,2013,50-59 Years old,3235769,1859636,1376133
14,Whole country,2013,60-69 Years old,2006125,1183435,822690
15,Whole country,2013,70-79 Years old,1259948,732289,527659
16,Whole country,2013,80 years and over,308122,170351,137771
17,Whole country,2013,dead,292520,247849,44671
18,Whole country,2014,Total,12650446,7281977,5368469
19,Whole country,2014,Under 30 years,240293,134155,106138
20,Whole country,2014,30-39 Years old,1841226,1073637,767589
21,Whole country,2014,40-49 Years old,3231720,1801109,1430611
22,Whole country,2014,50-59 Years old,3302097,1864412,1437685
23,Whole country,2014,60-69 Years old,2089927,1218026,871901
24,Whole country,2014,70-79 Years old,1303758,749007,554751
25,Whole country,2014,80 years and over,325782,173816,151966
26,Whole country,2014,dead,315643,267815,47828
27,Whole country,2015,Total,13044592,7420711,5623881
28,Whole country,2015,Under 30 years,275103,152291,122812
29,Whole country,2015,30-39 Years old,1855775,1088849,766926
30,Whole country,2015,40-49 Years old,3280918,1811469,1469449
31,Whole country,2015,50-59 Years old,3376615,1869816,1506799
32,Whole country,2015,60-69 Years old,2243668,1285274,958394
33,Whole country,2015,70-79 Years old,1337172,759308,577864
34,Whole country,2015,80 years and over,366776,193279,173497
35,Whole country,2015,dead,308565,260425,48140
36,Whole country,2016,Total,13311319,7509980,5801339
37,Whole country,2016,Under 30 years,252840,140309,112531
38,Whole country,2016,30-39 Years old,1831033,1080179,750854
39,Whole country,2016,40-49 Years old,3291308,1805209,1486099
40,Whole country,2016,50-59 Years old,3439685,1876111,1563574
41,Whole country,2016,60-69 Years old,2383245,1344462,1038783
42,Whole country,2016,70-79 Years old,1375881,773971,601910
43,Whole country,2016,80 years and over,415544,218645,196899
44,Whole country,2016,dead,321783,271094,50689
45,Whole country,2017,Total,13669851,7666849,6003002
46,Whole country,2017,Under 30 years,252676,140360,112316
47,Whole country,2017,30-39 Years old,1805119,1069615,735504
48,Whole country,2017,40-49 Years old,3316590,1819578,1497012
49,Whole country,2017,50-59 Years old,3502715,1884236,1618479
50,Whole country,2017,60-69 Years old,2516893,1405068,1111825
51,Whole country,2017,70-79 Years old,1473092,822892,650200
52,Whole country,2017,80 years and over,473021,248717,224304
53,Whole country,2017,dead,329745,276383,53362
54,Whole country,2018,Total,14010290,7796112,6214178
55,Whole country,2018,Under 30 years,257292,142123,115169
56,Whole country,2018,30-39 Years old,1801650,1068892,732758
57,Whole country,2018,40-49 Years old,3309561,1819350,1490211
58,Whole country,2018,50-59 Years old,3600518,1908829,1691689
59,Whole country,2018,60-69 Years old,2640555,1453325,1187230
60,Whole country,2018,70-79 Years old,1541530,852061,689469
61,Whole country,2018,80 years and over,535334,283637,251697
62,Whole country,2018,dead,323850,267895,55955
63,Whole country,2019,Total,14335723,7922076,6413647
64,Whole country,2019,Under 30 years,250362,137260,113102
65,Whole country,2019,30-39 Years old,1741549,1033528,708021
66,Whole country,2019,40-49 Years old,3316628,1831187,1485441
67,Whole country,2019,50-59 Years old,3689400,1936430,1752970
68,Whole country,2019,60-69 Years old,2799643,1518678,1280965
69,Whole country,2019,70-79 Years old,1612620,881862,730758
70,Whole country,2019,80 years and over,598223,313984,284239
71,Whole country,2019,dead,327298,269147,58151
72,Whole country,2020,Total,14696617,8055345,6641272
73,Whole country,2020,Under 30 years,265312,144581,120731
74,Whole country,2020,30-39 Years old,1680384,993113,687271
75,Whole country,2020,40-49 Years old,3337805,1848890,1488915
76,Whole country,2020,50-59 Years old,3735459,1944969,1790490
77,Whole country,2020,60-69 Years old,3011572,1606968,1404604
78,Whole country,2020,70-79 Years old,1680030,908455,771575
79,Whole country,2020,80 years and over,658604,340544,318060
80,Whole country,2020,dead,327451,267825,59626
81,Whole country,2021,Total,15089160,8205832,6883328
82,Whole country,2021,Under 30 years,291496,158053,133443
83,Whole country,2021,30-39 Years old,1646737,966521,680216
84,Whole country,2021,40-49 Years old,3335444,1857714,1477730
85,Whole country,2021,50-59 Years old,3793303,1964907,1828396
86,Whole country,2021,60-69 Years old,3256053,1710826,1545227
87,Whole country,2021,70-79 Years old,1722827,919664,803163
88,Whole country,2021,80 years and over,723771,369045,354726
89,Whole country,2021,dead,319529,259102,60427
90,Whole country,2022,Total,15309392,8280854,7028538
91,Whole country,2022,Under 30 years,274062,147709,126353
