,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population)
3,Whole country,1993,715826,1.654,16,402593,9
4,Whole country,1994,721185,1.656,16,393121,8.7
5,Whole country,1995,715020,1.634,15.7,398484,8.7
6,Whole country,1996,691226,1.574,15,434911,9.4
7,Whole country,1997,675394,1.537,14.5,388960,8.4
8,Whole country,1998,641594,1.464,13.7,373500,8
9,Whole country,1999,620668,1.425,13.2,360407,7.6
10,Whole country,2000,640089,1.48,13.5,332090,7
11,Whole country,2001,559934,1.309,11.7,318407,6.7
12,Whole country,2002,496911,1.178,10.3,304877,6.3
13,Whole country,2003,495036,1.191,10.2,302503,6.3
14,Whole country,2004,476958,1.164,9.8,308598,6.4
15,Whole country,2005,438707,1.085,9,314304,6.5
16,Whole country,2006,451759,1.132,9.2,330634,6.8
17,Whole country,2007,496822,1.259,10.1,343559,7
18,Whole country,2008,465892,1.192,9.4,327715,6.6
19,Whole country,2009,444849,1.149,9,309759,6.2
20,Whole country,2010,470171,1.226,9.4,326104,6.5
21,Whole country,2012,484550,1.297,9.6,327073,6.5
22,Whole country,2013,436455,1.187,8.6,322807,6.4
23,Whole country,2014,435435,1.205,8.6,305507,6
24,Whole country,2017,357771,1.052,7,264455,5.2
25,Whole country,2018,326822,0.977,6.4,257622,5
26,Whole country,2019,302676,0.918,5.9,239159,4.7
27,Whole country,2020,272337,0.837,5.3,213502,4.2
28,Whole country,2021,260562,0.808,5.1,192507,3.8
29,Whole country,2023,230028,0.721,4.5,193657,3.8
30,Whole country,2024,238300,0.75,4.7,222412,4.4
34,Seoul,1993,175827,1.558,16.1,103511,9.5
35,Seoul,1994,175707,1.565,16.2,100960,9.3
36,Seoul,1995,166236,1.512,15.6,98525,9.2
37,Seoul,1996,152140,1.407,14.5,105100,10
38,Seoul,1997,142724,1.338,13.8,93932,9.1
39,Seoul,1998,134604,1.272,13.1,88219,8.6
40,Seoul,1999,128120,1.218,12.5,85215,8.3
41,Seoul,2000,133154,1.275,12.9,78745,7.7
42,Seoul,2001,114764,1.111,11.2,77376,7.5
43,Seoul,2002,102008,1.006,10,72696,7.1
44,Seoul,2003,101227,1.014,9.9,72750,7.1
45,Seoul,2004,99828,1.015,9.8,71553,7
