,Province,Total,Apartments,Row Houses,Detached Houses,Year,Price Growth Rate (%),Apartment Growth Rate (%),Row House Growth Rate (%),Detached House Growth Rate (%)
1028,Busan,66.4,54.7,93.9,81.4,2003,,,,
1029,Busan,65.7,54.2,92.1,80.4,2003,-1.05,-0.91,-1.92,-1.23
1030,Busan,65.2,54.1,91.3,78.9,2004,-0.76,-0.18,-0.87,-1.87
1039,Busan,63.7,53.7,86.5,75.5,2004,-2.3,-0.74,-5.26,-4.31
1040,Busan,63.3,53.5,85.9,75.0,2004,-0.63,-0.37,-0.69,-0.66
1041,Busan,62.9,53.2,85.0,74.5,2004,-0.63,-0.56,-1.05,-0.67
1031,Busan,65.1,54.1,90.4,79.1,2004,3.5,1.69,6.35,6.17
1032,Busan,65.1,54.2,90.5,78.8,2004,0.0,0.18,0.11,-0.38
1033,Busan,65.1,54.3,90.2,78.5,2004,0.0,0.18,-0.33,-0.38
1034,Busan,65.0,54.4,89.5,78.1,2004,-0.15,0.18,-0.78,-0.51
1035,Busan,64.7,54.3,88.8,77.4,2004,-0.46,-0.18,-0.78,-0.9
1036,Busan,64.3,54.0,88.0,76.6,2004,-0.62,-0.55,-0.9,-1.03
1037,Busan,64.0,53.9,87.3,76.1,2004,-0.47,-0.19,-0.8,-0.65
1038,Busan,63.8,53.8,87.0,75.8,2004,-0.31,-0.19,-0.34,-0.39
1042,Busan,62.6,53.1,84.6,74.1,2005,-1.88,-1.3,-2.76,-2.24
1051,Busan,62.1,53.2,81.9,72.9,2005,-0.8,0.19,-3.19,-1.62
1052,Busan,62.1,53.1,81.5,72.9,2005,0.0,-0.19,-0.49,0.0
1053,Busan,62.0,53.1,81.5,72.9,2005,-0.16,0.0,0.0,0.0
1043,Busan,62.6,53.0,84.5,73.9,2005,0.97,-0.19,3.68,1.37
1044,Busan,62.5,53.0,84.2,73.8,2005,-0.16,0.0,-0.36,-0.14
1045,Busan,62.5,53.2,83.7,73.7,2005,0.0,0.38,-0.59,-0.14
1046,Busan,62.5,53.2,83.6,73.7,2005,0.0,0.0,-0.12,0.0
1047,Busan,62.5,53.2,83.4,73.6,2005,0.0,0.0,-0.24,-0.14
1048,Busan,62.4,53.2,83.0,73.6,2005,-0.16,0.0,-0.48,0.0
1049,Busan,62.4,53.2,82.9,73.4,2005,0.0,0.0,-0.12,-0.27
1050,Busan,62.3,53.2,82.6,73.3,2005,-0.16,0.0,-0.36,-0.14
