,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population),Price Growth Rate (%),Apartment Growth Rate (%),Row House Growth Rate (%),Detached House Growth Rate (%)
0,Whole country,2003,495036,1.191,10.2,302503,6.3,-0.81,-0.54,-1.29,-1.23
1,Whole country,2004,476958,1.164,9.8,308598,6.4,-0.11,0.03,-0.31,-0.3
2,Whole country,2005,438707,1.085,9,314304,6.5,0.2,0.38,-0.1,-0.1
3,Whole country,2006,451759,1.132,9.2,330634,6.8,0.47,0.58,0.44,0.04
4,Whole country,2007,496822,1.259,10.1,343559,7.0,0.9,0.94,1.36,0.26
5,Whole country,2008,465892,1.192,9.4,327715,6.6,0.73,0.66,1.19,0.32
6,Whole country,2009,444849,1.149,9,309759,6.2,-0.04,-0.07,0.02,-0.03
7,Whole country,2010,470171,1.226,9.4,326104,6.5,0.11,0.13,0.12,0.09
8,Whole country,2012,484550,1.297,9.6,327073,6.5,-0.01,-0.03,-0.01,0.07
9,Whole country,2013,436455,1.187,8.6,322807,6.4,-0.07,-0.08,-0.14,0.01
10,Whole country,2014,435435,1.205,8.6,305507,6.0,0.15,0.24,0.01,0.02
11,Whole country,2017,357771,1.052,7,264455,5.2,0.12,0.12,0.07,0.19
12,Whole country,2018,326822,0.977,6.4,257622,5.0,0.1,0.04,0.08,0.26
13,Whole country,2019,302676,0.918,5.9,239159,4.7,-0.06,-0.2,-0.08,0.29
14,Whole country,2020,272337,0.837,5.3,213502,4.2,0.36,0.5,0.07,0.2
15,Whole country,2021,260562,0.808,5.1,192507,3.8,0.85,1.22,0.27,0.27
16,Whole country,2023,230028,0.721,4.5,193657,3.8,-0.64,-0.91,-0.32,-0.03
17,Whole country,2024,238300,0.75,4.7,222412,4.4,0.03,0.02,-0.04,0.09
18,Seoul,2003,101227,1.014,9.9,72750,7.1,-0.72,-0.76,-0.79,-0.55
19,Seoul,2004,99828,1.015,9.8,71553,7.0,-0.04,0.02,-0.24,0.08
20,Seoul,2005,90468,0.932,8.9,71286,7.0,0.32,0.58,-0.09,0.16
21,Seoul,2006,93922,0.98,9.2,73924,7.3,0.85,1.08,0.62,0.58
22,Seoul,2007,101249,1.068,9.9,76399,7.5,1.46,1.5,1.62,1.14
23,Seoul,2008,94736,1.01,9.3,71753,7.0,1.21,0.99,1.54,1.18
24,Seoul,2009,89594,0.962,8.8,68841,6.7,0.01,-0.05,0.04,0.19
25,Seoul,2010,93266,1.015,9.2,70466,6.9,-0.03,-0.12,0.08,0.11
26,Seoul,2012,93914,1.059,9.3,71695,7.1,-0.31,-0.43,-0.12,-0.13
27,Seoul,2013,84066,0.968,8.4,68819,6.9,-0.25,-0.31,-0.23,-0.03
28,Seoul,2014,83711,0.983,8.4,64823,6.5,0.1,0.17,-0.04,0.05
29,Seoul,2017,65389,0.836,6.7,53776,5.5,0.28,0.39,0.14,0.21
30,Seoul,2018,58074,0.761,6,52005,5.4,0.56,0.76,0.25,0.44
31,Seoul,2019,53673,0.717,5.6,48261,5.0,0.02,-0.07,0.01,0.46
32,Seoul,2020,47445,0.642,5,44746,4.7,0.32,0.42,0.14,0.37
33,Seoul,2021,45531,0.626,4.8,37012,3.9,0.47,0.59,0.28,0.4
34,Seoul,2023,39456,0.552,4.2,36324,3.9,-0.51,-0.71,-0.32,-0.06
35,Seoul,2024,41600,0.58,4.5,42471,4.6,0.24,0.37,0.05,0.22
36,Busan,2003,30117,0.988,8.1,20027,5.4,-1.05,-0.91,-1.92,-1.23
37,Busan,2004,28231,0.953,7.7,19898,5.4,-0.24,-0.06,-0.45,-0.46
38,Busan,2005,25681,0.887,7,18973,5.2,-0.2,-0.09,-0.42,-0.28
39,Busan,2006,25881,0.915,7.1,20017,5.5,-0.12,-0.09,-0.25,-0.1
40,Busan,2007,28426,1.024,7.9,21484,6.0,0.01,0.05,-0.07,-0.02
41,Busan,2008,26670,0.98,7.5,20149,5.6,0.29,0.45,0.07,0.08
42,Busan,2009,25110,0.94,7.1,18614,5.2,0.22,0.33,0.14,0.04
43,Busan,2010,27415,1.045,7.8,20195,5.7,0.76,1.19,0.44,0.12
44,Busan,2012,28673,1.135,8.2,20362,5.8,0.0,-0.07,0.23,0.15
45,Busan,2013,25831,1.049,7.4,20734,5.9,-0.07,-0.13,0.01,0.02
46,Busan,2014,26190,1.09,7.5,18927,5.4,0.08,0.11,0.01,0.04
47,Busan,2017,21480,0.976,6.2,15677,4.5,0.32,0.37,0.13,0.35
48,Busan,2018,19152,0.899,5.6,14781,4.3,-0.08,-0.23,-0.09,0.39
49,Busan,2019,17049,0.827,5,13780,4.1,-0.17,-0.33,-0.19,0.36
50,Busan,2020,15058,0.747,4.5,12128,3.6,0.2,0.24,-0.07,0.32
51,Busan,2021,14446,0.728,4.3,11081,3.3,1.1,1.49,0.36,0.41
52,Busan,2023,12866,0.664,3.9,10303,3.1,-0.84,-1.1,-0.32,-0.06
53,Busan,2024,13100,0.68,4,11499,3.5,-0.19,-0.22,-0.14,0.02
54,Daegu,2003,24513,1.116,9.7,14028,5.5,-1.2,-0.97,-2.45,-1.36
55,Daegu,2004,23259,1.087,9.2,13792,5.5,-0.13,0.05,-0.32,-0.38
56,Daegu,2005,20804,1.001,8.3,13152,5.2,0.47,0.67,0.11,0.23
57,Daegu,2006,20360,1.011,8.1,13892,5.5,0.25,0.3,0.16,0.22
58,Daegu,2007,22295,1.137,8.9,14655,5.9,-0.07,-0.18,0.2,0.1
59,Daegu,2008,20562,1.072,8.2,13743,5.5,-0.07,-0.19,0.2,0.12
60,Daegu,2009,19399,1.029,7.8,12844,5.2,-0.26,-0.34,-0.14,-0.16
61,Daegu,2010,20557,1.109,8.3,13479,5.4,0.1,0.16,0.0,0.05
62,Daegu,2012,21472,1.217,8.6,13642,5.5,0.51,0.69,0.31,0.09
