,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population),Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households,House Ownership Rate
0,Whole country,2017,357771,1.052,7,264455,5.2,17122573,14973014,10375363,8702268,87.45
1,Whole country,2018,326822,0.977,6.4,257622,5.0,17633327,15328268,10826044,9037375,86.93
2,Whole country,2019,302676,0.918,5.9,239159,4.7,18126954,15701210,11287048,9384629,86.62
3,Whole country,2020,272337,0.837,5.3,213502,4.2,18525844,15982836,11661851,9655228,86.27
4,Whole country,2021,260562,0.808,5.1,192507,3.8,18811627,16257216,11948544,9932671,86.42
5,Whole country,2023,230028,0.721,4.5,193657,3.8,19546299,16759409,12631608,10409753,85.74
6,Seoul,2017,65389,0.836,6.7,53776,5.5,2866845,2554758,1665922,1410827,89.11
7,Seoul,2018,58074,0.761,6,52005,5.4,2894078,2573571,1679639,1423056,88.93
8,Seoul,2019,53673,0.717,5.6,48261,5.0,2953964,2605964,1720691,1447784,88.22
9,Seoul,2020,47445,0.642,5,44746,4.7,3015371,2643613,1772670,1481857,87.67
10,Seoul,2021,45531,0.626,4.8,37012,3.9,3068494,2684989,1818214,1522920,87.5
11,Seoul,2023,39456,0.552,4.2,36324,3.9,3155331,2727997,1886515,1559433,86.46
12,Busan,2017,21480,0.976,6.2,15677,4.5,1200422,1090758,776079,686702,90.86
13,Busan,2018,19152,0.899,5.6,14781,4.3,1220782,1102725,798281,703465,90.33
14,Busan,2019,17049,0.827,5,13780,4.1,1249757,1113204,831294,719565,89.07
15,Busan,2020,15058,0.747,4.5,12128,3.6,1275859,1129908,860042,740688,88.56
16,Busan,2021,14446,0.728,4.3,11081,3.3,1282831,1139338,872073,756451,88.81
17,Busan,2023,12866,0.664,3.9,10303,3.1,1329355,1176449,920155,794945,88.5
18,Daegu,2017,15946,1.067,6.5,11392,4.6,783895,704901,555900,484171,89.92
19,Daegu,2018,14400,0.987,5.9,10967,4.5,792998,712956,567543,496547,89.91
20,Daegu,2019,13233,0.932,5.4,9880,4.1,800340,716231,579777,505039,89.49
21,Daegu,2020,11193,0.807,4.6,8340,3.5,809802,718203,595392,512834,88.69
22,Daegu,2021,10661,0.785,4.5,7287,3.1,815588,723024,605787,521258,88.65
23,Daegu,2023,9410,0.702,4,8150,3.4,876286,759381,658745,550316,86.66
24,Incheon,2017,20445,1.007,7,15235,5.2,969588,880755,597929,527063,90.84
25,Incheon,2018,20087,1.006,6.9,14850,5.1,997959,896083,624332,545118,89.79
26,Incheon,2019,18522,0.94,6.3,13401,4.6,1019365,909693,648403,563428,89.24
27,Incheon,2020,16040,0.829,5.5,11574,4.0,1032774,920462,661611,576858,89.13
28,Incheon,2021,14947,0.778,5.1,10881,3.7,1053451,932236,683337,592846,88.49
29,Incheon,2023,13659,0.694,4.6,11621,3.9,1131300,973643,760435,636698,86.06
30,Gwangju,2017,10120,1.053,6.9,7141,4.9,505471,434083,395976,330863,85.88
31,Gwangju,2018,9105,0.972,6.3,6632,4.6,514767,441712,406329,340237,85.81
32,Gwangju,2019,8364,0.913,5.8,6297,4.3,526161,449864,419567,350625,85.5
33,Gwangju,2020,7318,0.811,5.1,5560,3.8,538275,453043,432295,355224,84.17
34,Gwangju,2021,7956,0.896,5.5,4901,3.4,542703,460280,438338,364441,84.81
35,Gwangju,2023,6172,0.706,4.3,5169,3.6,560550,475172,456837,379997,84.77
36,Daejeon,2017,10851,1.075,7.2,7697,5.1,479161,421679,348033,296790,88.0
37,Daejeon,2018,9337,0.952,6.3,7377,5.0,486764,431181,355517,306580,88.58
38,Daejeon,2019,8410,0.883,5.7,6602,4.5,492797,433228,362190,310357,87.91
39,Daejeon,2020,7481,0.805,5.1,5976,4.1,496875,435193,367235,313960,87.59
40,Daejeon,2021,7414,0.81,5.1,5419,3.7,501218,438310,373590,319202,87.45
41,Daejeon,2023,7194,0.787,5,5212,3.6,514123,450082,388467,332818,87.54
42,Ulsan,2017,9381,1.261,8.1,6331,5.4,371300,340057,264440,239612,91.59
43,Ulsan,2018,8149,1.131,7.1,5894,5.1,379741,347094,273230,249997,91.4
44,Ulsan,2019,7539,1.084,6.6,5442,4.7,391596,357671,286234,257781,91.34
45,Ulsan,2020,6617,0.984,5.8,4737,4.2,394634,363774,289432,264171,92.18
