Area,Year,Age_Group,Count
Busan,2012,30-39 Years old,126565
Busan,2012,40-49 Years old,203909
Busan,2012,50-59 Years old,249395
Busan,2012,60-69 Years old,163349
Busan,2012,70-79 Years old,82635
Busan,2012,80 years and over,15379
Busan,2012,Under 30 years,19094
Busan,2012,dead,14166
Busan,2013,30-39 Years old,123796
Busan,2013,40-49 Years old,206055
Busan,2013,50-59 Years old,259126
Busan,2013,60-69 Years old,174590
Busan,2013,70-79 Years old,95219
Busan,2013,80 years and over,18793
Busan,2013,Under 30 years,17269
Busan,2013,dead,15037
Busan,2014,30-39 Years old,121996
Busan,2014,40-49 Years old,208578
Busan,2014,50-59 Years old,257764
Busan,2014,60-69 Years old,181462
Busan,2014,70-79 Years old,100365
Busan,2014,80 years and over,20616
Busan,2014,Under 30 years,16180
Busan,2014,dead,16095
Busan,2015,30-39 Years old,122574
Busan,2015,40-49 Years old,211192
Busan,2015,50-59 Years old,256893
Busan,2015,60-69 Years old,196100
Busan,2015,70-79 Years old,105793
Busan,2015,80 years and over,24128
Busan,2015,Under 30 years,17804
Busan,2015,dead,15719
Busan,2016,30-39 Years old,121982
Busan,2016,40-49 Years old,210121
Busan,2016,50-59 Years old,254641
Busan,2016,60-69 Years old,205148
Busan,2016,70-79 Years old,107689
Busan,2016,80 years and over,27157
Busan,2016,Under 30 years,16970
Busan,2016,dead,15710
Busan,2017,30-39 Years old,118460
Busan,2017,40-49 Years old,208817
Busan,2017,50-59 Years old,252548
Busan,2017,60-69 Years old,214267
Busan,2017,70-79 Years old,115600
Busan,2017,80 years and over,30924
Busan,2017,Under 30 years,16588
Busan,2017,dead,16389
Busan,2018,30-39 Years old,112119
Busan,2018,40-49 Years old,205127
Busan,2018,50-59 Years old,251782
Busan,2018,60-69 Years old,220893
Busan,2018,70-79 Years old,122835
Busan,2018,80 years and over,34926
Busan,2018,Under 30 years,15375
Busan,2018,dead,17367
Busan,2019,30-39 Years old,103194
Busan,2019,40-49 Years old,202929
Busan,2019,50-59 Years old,249838
Busan,2019,60-69 Years old,229175
Busan,2019,70-79 Years old,129547
Busan,2019,80 years and over,39629
Busan,2019,Under 30 years,14107
Busan,2019,dead,18557
Busan,2020,30-39 Years old,97286
Busan,2020,40-49 Years old,204662
Busan,2020,50-59 Years old,246238
Busan,2020,60-69 Years old,240931
Busan,2020,70-79 Years old,135123
Busan,2020,80 years and over,44323
Busan,2020,Under 30 years,14337
Busan,2020,dead,19006
Busan,2021,30-39 Years old,94141
Busan,2021,40-49 Years old,204191
Busan,2021,50-59 Years old,243735
Busan,2021,60-69 Years old,253198
Busan,2021,70-79 Years old,139640
Busan,2021,80 years and over,49490
Busan,2021,Under 30 years,16372
Busan,2021,dead,18329
Busan,2022,30-39 Years old,88663
Busan,2022,40-49 Years old,201989
Busan,2022,50-59 Years old,242329
Busan,2022,60-69 Years old,258354
Busan,2022,70-79 Years old,146791
Busan,2022,80 years and over,56513
Busan,2022,Under 30 years,15960
Busan,2022,dead,19586
Busan,2023,30-39 Years old,84989
Busan,2023,40-49 Years old,202455
Busan,2023,50-59 Years old,245421
Busan,2023,60-69 Years old,266290
Busan,2023,70-79 Years old,154637
Busan,2023,80 years and over,63039
Busan,2023,Under 30 years,14460
Busan,2023,dead,19970
Chungcheongbuk-do,2012,30-39 Years old,59838
Chungcheongbuk-do,2012,40-49 Years old,93530
Chungcheongbuk-do,2012,50-59 Years old,98469
Chungcheongbuk-do,2012,60-69 Years old,60288
Chungcheongbuk-do,2012,70-79 Years old,42312
Chungcheongbuk-do,2012,80 years and over,9693
Chungcheongbuk-do,2012,Under 30 years,9237
Chungcheongbuk-do,2012,dead,12341
Chungcheongbuk-do,2013,30-39 Years old,59327
Chungcheongbuk-do,2013,40-49 Years old,96704
Chungcheongbuk-do,2013,50-59 Years old,103009
Chungcheongbuk-do,2013,60-69 Years old,63556
Chungcheongbuk-do,2013,70-79 Years old,45671
Chungcheongbuk-do,2013,80 years and over,11346
Chungcheongbuk-do,2013,Under 30 years,8394
Chungcheongbuk-do,2013,dead,13416
Chungcheongbuk-do,2014,30-39 Years old,57621
Chungcheongbuk-do,2014,40-49 Years old,98636
Chungcheongbuk-do,2014,50-59 Years old,103913
Chungcheongbuk-do,2014,60-69 Years old,66236
Chungcheongbuk-do,2014,70-79 Years old,45956
Chungcheongbuk-do,2014,80 years and over,11274
Chungcheongbuk-do,2014,Under 30 years,8117
Chungcheongbuk-do,2014,dead,15081
Chungcheongbuk-do,2015,30-39 Years old,57414
Chungcheongbuk-do,2015,40-49 Years old,99532
Chungcheongbuk-do,2015,50-59 Years old,106136
Chungcheongbuk-do,2015,60-69 Years old,69810
Chungcheongbuk-do,2015,70-79 Years old,45046
Chungcheongbuk-do,2015,80 years and over,12453
Chungcheongbuk-do,2015,Under 30 years,9364
Chungcheongbuk-do,2015,dead,14781
Chungcheongbuk-do,2016,30-39 Years old,55380
Chungcheongbuk-do,2016,40-49 Years old,99235
Chungcheongbuk-do,2016,50-59 Years old,109299
Chungcheongbuk-do,2016,60-69 Years old,76707
Chungcheongbuk-do,2016,70-79 Years old,46837
Chungcheongbuk-do,2016,80 years and over,14734
Chungcheongbuk-do,2016,Under 30 years,8154
Chungcheongbuk-do,2016,dead,15926
Chungcheongbuk-do,2017,30-39 Years old,53726
Chungcheongbuk-do,2017,40-49 Years old,99499
Chungcheongbuk-do,2017,50-59 Years old,112553
Chungcheongbuk-do,2017,60-69 Years old,83781
Chungcheongbuk-do,2017,70-79 Years old,50509
Chungcheongbuk-do,2017,80 years and over,17219
Chungcheongbuk-do,2017,Under 30 years,7929
Chungcheongbuk-do,2017,dead,16580
Chungcheongbuk-do,2018,30-39 Years old,53446
Chungcheongbuk-do,2018,40-49 Years old,98949
Chungcheongbuk-do,2018,50-59 Years old,115498
Chungcheongbuk-do,2018,60-69 Years old,89050
Chungcheongbuk-do,2018,70-79 Years old,52064
Chungcheongbuk-do,2018,80 years and over,19846
Chungcheongbuk-do,2018,Under 30 years,8448
Chungcheongbuk-do,2018,dead,15747
Chungcheongbuk-do,2019,30-39 Years old,53270
Chungcheongbuk-do,2019,40-49 Years old,99145
Chungcheongbuk-do,2019,50-59 Years old,120105
Chungcheongbuk-do,2019,60-69 Years old,95320
Chungcheongbuk-do,2019,70-79 Years old,54017
Chungcheongbuk-do,2019,80 years and over,22319
Chungcheongbuk-do,2019,Under 30 years,8596
Chungcheongbuk-do,2019,dead,16594
Chungcheongbuk-do,2020,30-39 Years old,52281
Chungcheongbuk-do,2020,40-49 Years old,99825
Chungcheongbuk-do,2020,50-59 Years old,121707
Chungcheongbuk-do,2020,60-69 Years old,103199
Chungcheongbuk-do,2020,70-79 Years old,55469
Chungcheongbuk-do,2020,80 years and over,24319
Chungcheongbuk-do,2020,Under 30 years,9023
Chungcheongbuk-do,2020,dead,16948
Chungcheongbuk-do,2021,30-39 Years old,50632
Chungcheongbuk-do,2021,40-49 Years old,98494
