Area,Year,Age_Group,Count
Busan,2012,30-39 Years old,126565
Busan,2012,30-39 Years old,70752
Busan,2012,30-39 Years old,55813
Busan,2012,40-49 Years old,203909
Busan,2012,40-49 Years old,107822
Busan,2012,40-49 Years old,96087
Busan,2012,50-59 Years old,249395
Busan,2012,50-59 Years old,136761
Busan,2012,50-59 Years old,112634
Busan,2012,60-69 Years old,163349
Busan,2012,60-69 Years old,95909
Busan,2012,60-69 Years old,67440
Busan,2012,70-79 Years old,82635
Busan,2012,70-79 Years old,47211
Busan,2012,70-79 Years old,35424
Busan,2012,80 years and over,15379
Busan,2012,80 years and over,7841
Busan,2012,80 years and over,7538
Busan,2012,Under 30 years,19094
Busan,2012,Under 30 years,10215
Busan,2012,Under 30 years,8879
Busan,2012,dead,14166
Busan,2012,dead,11039
Busan,2012,dead,3127
Busan,2013,30-39 Years old,123796
Busan,2013,30-39 Years old,69445
Busan,2013,30-39 Years old,54351
Busan,2013,40-49 Years old,206055
Busan,2013,40-49 Years old,108133
Busan,2013,40-49 Years old,97922
Busan,2013,50-59 Years old,259126
Busan,2013,50-59 Years old,139457
Busan,2013,50-59 Years old,119669
Busan,2013,60-69 Years old,174590
Busan,2013,60-69 Years old,100751
Busan,2013,60-69 Years old,73839
Busan,2013,70-79 Years old,95219
Busan,2013,70-79 Years old,53960
Busan,2013,70-79 Years old,41259
Busan,2013,80 years and over,18793
Busan,2013,80 years and over,9474
Busan,2013,80 years and over,9319
Busan,2013,Under 30 years,17269
Busan,2013,Under 30 years,9284
Busan,2013,Under 30 years,7985
Busan,2013,dead,15037
Busan,2013,dead,11697
Busan,2013,dead,3340
Busan,2014,30-39 Years old,121996
Busan,2014,30-39 Years old,68918
Busan,2014,30-39 Years old,53078
Busan,2014,40-49 Years old,208578
Busan,2014,40-49 Years old,108603
Busan,2014,40-49 Years old,99975
Busan,2014,50-59 Years old,257764
Busan,2014,50-59 Years old,135487
Busan,2014,50-59 Years old,122277
Busan,2014,60-69 Years old,181462
Busan,2014,60-69 Years old,102749
Busan,2014,60-69 Years old,78713
Busan,2014,70-79 Years old,100365
Busan,2014,70-79 Years old,56597
Busan,2014,70-79 Years old,43768
Busan,2014,80 years and over,20616
Busan,2014,80 years and over,10340
Busan,2014,80 years and over,10276
Busan,2014,Under 30 years,16180
Busan,2014,Under 30 years,8839
Busan,2014,Under 30 years,7341
Busan,2014,dead,16095
Busan,2014,dead,12521
Busan,2014,dead,3574
Busan,2015,30-39 Years old,122574
Busan,2015,30-39 Years old,69657
Busan,2015,30-39 Years old,52917
Busan,2015,40-49 Years old,211192
Busan,2015,40-49 Years old,109358
Busan,2015,40-49 Years old,101834
Busan,2015,50-59 Years old,256893
Busan,2015,50-59 Years old,131664
Busan,2015,50-59 Years old,125229
Busan,2015,60-69 Years old,196100
Busan,2015,60-69 Years old,108358
Busan,2015,60-69 Years old,87742
Busan,2015,70-79 Years old,105793
Busan,2015,70-79 Years old,59005
Busan,2015,70-79 Years old,46788
Busan,2015,80 years and over,24128
Busan,2015,80 years and over,12009
Busan,2015,80 years and over,12119
Busan,2015,Under 30 years,17804
Busan,2015,Under 30 years,9550
Busan,2015,Under 30 years,8254
Busan,2015,dead,15719
Busan,2015,dead,12097
Busan,2015,dead,3622
Busan,2016,30-39 Years old,121982
Busan,2016,30-39 Years old,69615
Busan,2016,30-39 Years old,52367
Busan,2016,40-49 Years old,210121
Busan,2016,40-49 Years old,108339
Busan,2016,40-49 Years old,101782
Busan,2016,50-59 Years old,254641
Busan,2016,50-59 Years old,127638
Busan,2016,50-59 Years old,127003
Busan,2016,60-69 Years old,205148
Busan,2016,60-69 Years old,110601
Busan,2016,60-69 Years old,94547
Busan,2016,70-79 Years old,107689
Busan,2016,70-79 Years old,59515
Busan,2016,70-79 Years old,48174
Busan,2016,80 years and over,27157
Busan,2016,80 years and over,13486
Busan,2016,80 years and over,13671
Busan,2016,Under 30 years,16970
Busan,2016,Under 30 years,9119
Busan,2016,Under 30 years,7851
Busan,2016,dead,15710
Busan,2016,dead,12021
Busan,2016,dead,3689
Busan,2017,30-39 Years old,118460
Busan,2017,30-39 Years old,67807
Busan,2017,30-39 Years old,50653
Busan,2017,40-49 Years old,208817
Busan,2017,40-49 Years old,108278
Busan,2017,40-49 Years old,100539
Busan,2017,50-59 Years old,252548
Busan,2017,50-59 Years old,124583
Busan,2017,50-59 Years old,127965
