Region,By Housing Type,Date,Price_Index
5 Metropolitan Cities,Apartments,2003-09-01,73.9
5 Metropolitan Cities,Apartments,2003-10-01,74.9
5 Metropolitan Cities,Apartments,2003-11-01,74.9
5 Metropolitan Cities,Apartments,2003-12-01,74.3
5 Metropolitan Cities,Apartments,2004-01-01,74.1
5 Metropolitan Cities,Apartments,2004-02-01,74.4
5 Metropolitan Cities,Apartments,2004-03-01,74.6
5 Metropolitan Cities,Apartments,2004-04-01,74.9
5 Metropolitan Cities,Apartments,2004-05-01,75.0
5 Metropolitan Cities,Apartments,2004-06-01,75.1
5 Metropolitan Cities,Apartments,2004-07-01,75.0
5 Metropolitan Cities,Apartments,2004-08-01,75.0
5 Metropolitan Cities,Apartments,2004-09-01,75.0
5 Metropolitan Cities,Apartments,2004-10-01,75.1
5 Metropolitan Cities,Apartments,2004-11-01,74.9
5 Metropolitan Cities,Apartments,2004-12-01,74.7
5 Metropolitan Cities,Apartments,2005-01-01,74.6
5 Metropolitan Cities,Apartments,2005-02-01,74.8
5 Metropolitan Cities,Apartments,2005-03-01,75.2
5 Metropolitan Cities,Apartments,2005-04-01,75.7
5 Metropolitan Cities,Apartments,2005-05-01,76.2
5 Metropolitan Cities,Apartments,2005-06-01,76.5
5 Metropolitan Cities,Apartments,2005-07-01,76.8
5 Metropolitan Cities,Apartments,2005-08-01,77.2
5 Metropolitan Cities,Apartments,2005-09-01,77.5
5 Metropolitan Cities,Apartments,2005-10-01,77.5
5 Metropolitan Cities,Apartments,2005-11-01,77.5
5 Metropolitan Cities,Apartments,2005-12-01,77.7
5 Metropolitan Cities,Apartments,2006-01-01,78.0
5 Metropolitan Cities,Apartments,2006-02-01,78.2
5 Metropolitan Cities,Apartments,2006-03-01,78.4
5 Metropolitan Cities,Apartments,2006-04-01,78.6
5 Metropolitan Cities,Apartments,2006-05-01,78.7
5 Metropolitan Cities,Apartments,2006-06-01,78.7
5 Metropolitan Cities,Apartments,2006-07-01,78.6
5 Metropolitan Cities,Apartments,2006-08-01,78.6
5 Metropolitan Cities,Apartments,2006-09-01,78.6
5 Metropolitan Cities,Apartments,2006-10-01,78.8
5 Metropolitan Cities,Apartments,2006-11-01,79.2
5 Metropolitan Cities,Apartments,2006-12-01,79.4
5 Metropolitan Cities,Apartments,2007-01-01,79.5
5 Metropolitan Cities,Apartments,2007-02-01,79.5
5 Metropolitan Cities,Apartments,2007-03-01,79.5
5 Metropolitan Cities,Apartments,2007-04-01,79.4
5 Metropolitan Cities,Apartments,2007-05-01,79.3
5 Metropolitan Cities,Apartments,2007-06-01,79.2
5 Metropolitan Cities,Apartments,2007-07-01,79.1
5 Metropolitan Cities,Apartments,2007-08-01,79.0
5 Metropolitan Cities,Apartments,2007-09-01,79.0
5 Metropolitan Cities,Apartments,2007-10-01,79.0
5 Metropolitan Cities,Apartments,2007-11-01,78.9
5 Metropolitan Cities,Apartments,2007-12-01,78.9
5 Metropolitan Cities,Apartments,2008-01-01,78.9
5 Metropolitan Cities,Apartments,2008-02-01,78.9
5 Metropolitan Cities,Apartments,2008-03-01,79.1
5 Metropolitan Cities,Apartments,2008-04-01,79.2
5 Metropolitan Cities,Apartments,2008-05-01,79.4
5 Metropolitan Cities,Apartments,2008-06-01,79.5
5 Metropolitan Cities,Apartments,2008-07-01,79.6
5 Metropolitan Cities,Apartments,2008-08-01,79.7
5 Metropolitan Cities,Apartments,2008-09-01,79.9
5 Metropolitan Cities,Apartments,2008-10-01,79.9
5 Metropolitan Cities,Apartments,2008-11-01,79.9
5 Metropolitan Cities,Apartments,2008-12-01,79.7
5 Metropolitan Cities,Apartments,2009-01-01,79.4
5 Metropolitan Cities,Apartments,2009-02-01,79.2
5 Metropolitan Cities,Apartments,2009-03-01,79.1
5 Metropolitan Cities,Apartments,2009-04-01,79.1
5 Metropolitan Cities,Apartments,2009-05-01,79.2
5 Metropolitan Cities,Apartments,2009-06-01,79.3
5 Metropolitan Cities,Apartments,2009-07-01,79.5
5 Metropolitan Cities,Apartments,2009-08-01,79.7
5 Metropolitan Cities,Apartments,2009-09-01,80.4
5 Metropolitan Cities,Apartments,2009-10-01,80.8
5 Metropolitan Cities,Apartments,2009-11-01,81.5
5 Metropolitan Cities,Apartments,2009-12-01,81.9
5 Metropolitan Cities,Apartments,2010-01-01,82.2
5 Metropolitan Cities,Apartments,2010-02-01,82.9
5 Metropolitan Cities,Apartments,2010-03-01,83.5
5 Metropolitan Cities,Apartments,2010-04-01,84.1
5 Metropolitan Cities,Apartments,2010-05-01,84.7
5 Metropolitan Cities,Apartments,2010-06-01,85.1
5 Metropolitan Cities,Apartments,2010-07-01,85.4
5 Metropolitan Cities,Apartments,2010-08-01,85.8
5 Metropolitan Cities,Apartments,2010-09-01,86.3
5 Metropolitan Cities,Apartments,2010-10-01,87.0
5 Metropolitan Cities,Apartments,2010-11-01,88.0
5 Metropolitan Cities,Apartments,2010-12-01,89.1
5 Metropolitan Cities,Apartments,2011-01-01,90.1
5 Metropolitan Cities,Apartments,2011-02-01,92.0
5 Metropolitan Cities,Apartments,2011-03-01,94.1
5 Metropolitan Cities,Apartments,2011-04-01,96.3
5 Metropolitan Cities,Apartments,2011-05-01,98.4
5 Metropolitan Cities,Apartments,2011-06-01,100.0
5 Metropolitan Cities,Apartments,2011-07-01,101.4
5 Metropolitan Cities,Apartments,2011-08-01,102.8
5 Metropolitan Cities,Apartments,2011-09-01,104.2
5 Metropolitan Cities,Apartments,2011-10-01,105.3
5 Metropolitan Cities,Apartments,2011-11-01,106.6
5 Metropolitan Cities,Apartments,2011-12-01,107.1
5 Metropolitan Cities,Apartments,2012-01-01,107.7
5 Metropolitan Cities,Apartments,2012-02-01,108.2
5 Metropolitan Cities,Apartments,2012-03-01,108.9
5 Metropolitan Cities,Apartments,2012-04-01,109.5
5 Metropolitan Cities,Apartments,2012-05-01,109.8
5 Metropolitan Cities,Apartments,2012-06-01,109.9
5 Metropolitan Cities,Apartments,2012-07-01,110.0
5 Metropolitan Cities,Apartments,2012-08-01,110.1
5 Metropolitan Cities,Apartments,2012-09-01,110.2
5 Metropolitan Cities,Apartments,2012-10-01,110.4
5 Metropolitan Cities,Apartments,2012-11-01,110.6
5 Metropolitan Cities,Apartments,2012-12-01,110.6
5 Metropolitan Cities,Row Houses,2003-09-01,95.9
5 Metropolitan Cities,Row Houses,2003-10-01,96.0
5 Metropolitan Cities,Row Houses,2003-11-01,94.7
5 Metropolitan Cities,Row Houses,2003-12-01,93.0
5 Metropolitan Cities,Row Houses,2004-01-01,92.4
5 Metropolitan Cities,Row Houses,2004-02-01,92.3
5 Metropolitan Cities,Row Houses,2004-03-01,92.1
5 Metropolitan Cities,Row Houses,2004-04-01,91.9
5 Metropolitan Cities,Row Houses,2004-05-01,91.6
5 Metropolitan Cities,Row Houses,2004-06-01,91.2
5 Metropolitan Cities,Row Houses,2004-07-01,90.7
5 Metropolitan Cities,Row Houses,2004-08-01,90.0
5 Metropolitan Cities,Row Houses,2004-09-01,89.9
5 Metropolitan Cities,Row Houses,2004-10-01,89.5
5 Metropolitan Cities,Row Houses,2004-11-01,88.9
