Area,Year,Metric,Value
Busan,1995,Houses per 1000 people,177.5
Busan,1995,Population figures,3814.3
Busan,1995,The number of houses,677.0
Busan,2000,Houses per 1000 people,226.7
Busan,2000,Population figures,3662.9
Busan,2000,The number of houses,830.2
Busan,2005,Houses per 1000 people,329.5
Busan,2005,Population figures,3523.6
Busan,2005,The number of houses,1161.0
Busan,2010,Houses per 1000 people,364.0
Busan,2010,Houses per 1000 people,358.5
Busan,2010,Population figures,3415.0
Busan,2010,Population figures,3488.0
Busan,2010,The number of houses,1243.1
Busan,2010,The number of houses,1250.5
Busan,2015,Houses per 1000 people,397.3
Busan,2015,Population figures,3448.7
Busan,2015,The number of houses,1370.2
Busan,2016,Houses per 1000 people,399.8
Busan,2016,Population figures,3440.5
Busan,2016,The number of houses,1375.5
Busan,2017,Houses per 1000 people,408.6
Busan,2017,Population figures,3416.9
Busan,2017,The number of houses,1396.0
Busan,2018,Houses per 1000 people,0.0
Busan,2018,Houses per 1000 people,416.1
Busan,2018,Population figures,0.0
Busan,2018,Population figures,3395.3
Busan,2018,The number of houses,0.0
Busan,2018,The number of houses,1412.9
Busan,2019,Houses per 1000 people,0.0
Busan,2019,Houses per 1000 people,426.5
Busan,2019,Population figures,0.0
Busan,2019,Population figures,3372.7
Busan,2019,The number of houses,0.0
Busan,2019,The number of houses,1438.6
Busan,2020,Houses per 1000 people,0.0
Busan,2020,Houses per 1000 people,436.0
Busan,2020,Population figures,0.0
Busan,2020,Population figures,3349.0
Busan,2020,The number of houses,0.0
Busan,2020,The number of houses,1460.1
Busan,2021,Houses per 1000 people,0.0
Busan,2021,Houses per 1000 people,440.0
Busan,2021,Population figures,0.0
Busan,2021,Population figures,3324.3
Busan,2021,The number of houses,0.0
Busan,2021,The number of houses,1462.6
Busan,2022,Houses per 1000 people,0.0
Busan,2022,Houses per 1000 people,450.8
Busan,2022,Population figures,0.0
Busan,2022,Population figures,3295.8
Busan,2022,The number of houses,0.0
Busan,2022,The number of houses,1485.6
Busan,2023,Houses per 1000 people,0.0
Busan,2023,Houses per 1000 people,459.0
Busan,2023,Population figures,0.0
Busan,2023,Population figures,3279.6
Busan,2023,The number of houses,0.0
Busan,2023,The number of houses,1505.4
Capital Area,1995,Houses per 1000 people,191.2
Capital Area,1995,Population figures,20189.1
Capital Area,1995,The number of houses,3859.4
Capital Area,2000,Houses per 1000 people,221.6
Capital Area,2000,Population figures,21354.5
Capital Area,2000,The number of houses,4731.2
Capital Area,2005,Houses per 1000 people,314.7
Capital Area,2005,Population figures,22766.9
Capital Area,2005,The number of houses,7165.0
Capital Area,2010,Houses per 1000 people,342.9
Capital Area,2010,Houses per 1000 people,336.2
Capital Area,2010,Population figures,23836.3
Capital Area,2010,Population figures,24439.0
Capital Area,2010,The number of houses,8173.2
Capital Area,2010,The number of houses,8216.0
Capital Area,2015,Houses per 1000 people,356.8
Capital Area,2015,Population figures,25273.8
Capital Area,2015,The number of houses,9016.8
Capital Area,2016,Houses per 1000 people,360.8
Capital Area,2016,Population figures,25390.5
Capital Area,2016,The number of houses,9161.4
Capital Area,2017,Houses per 1000 people,365.8
Capital Area,2017,Population figures,25519.4
Capital Area,2017,The number of houses,9335.5
Capital Area,2018,Houses per 1000 people,0.0
Capital Area,2018,Houses per 1000 people,372.9
Capital Area,2018,Population figures,0.0
Capital Area,2018,Population figures,25713.2
Capital Area,2018,The number of houses,0.0
Capital Area,2018,The number of houses,9588.1
Capital Area,2019,Houses per 1000 people,0.0
Capital Area,2019,Houses per 1000 people,380.1
Capital Area,2019,Population figures,0.0
Capital Area,2019,Population figures,25892.7
Capital Area,2019,The number of houses,0.0
Capital Area,2019,The number of houses,9840.9
Capital Area,2020,Houses per 1000 people,0.0
Capital Area,2020,Houses per 1000 people,385.0
Capital Area,2020,Population figures,0.0
Capital Area,2020,Population figures,26043.3
Capital Area,2020,The number of houses,0.0
Capital Area,2020,The number of houses,10027.2
Capital Area,2021,Houses per 1000 people,0.0
Capital Area,2021,Houses per 1000 people,390.5
Capital Area,2021,Population figures,0.0
Capital Area,2021,Population figures,26081.7
Capital Area,2021,The number of houses,0.0
Capital Area,2021,The number of houses,10183.9
Capital Area,2022,Houses per 1000 people,0.0
Capital Area,2022,Houses per 1000 people,396.5
Capital Area,2022,Population figures,0.0
Capital Area,2022,Population figures,26124.4
Capital Area,2022,The number of houses,0.0
Capital Area,2022,The number of houses,10357.8
Capital Area,2023,Houses per 1000 people,0.0
Capital Area,2023,Houses per 1000 people,403.2
Capital Area,2023,Population figures,0.0
Capital Area,2023,Population figures,26225.8
Capital Area,2023,The number of houses,0.0
Capital Area,2023,The number of houses,10573.7
Chungcheongbuk-do,1995,Houses per 1000 people,256.6
Chungcheongbuk-do,1995,Population figures,1396.7
Chungcheongbuk-do,1995,The number of houses,358.3
Chungcheongbuk-do,2000,Houses per 1000 people,288.0
Chungcheongbuk-do,2000,Population figures,1466.6
Chungcheongbuk-do,2000,The number of houses,422.4
Chungcheongbuk-do,2005,Houses per 1000 people,356.1
Chungcheongbuk-do,2005,Population figures,1460.5
Chungcheongbuk-do,2005,The number of houses,520.1
Chungcheongbuk-do,2010,Houses per 1000 people,396.5
Chungcheongbuk-do,2010,Houses per 1000 people,389.0
Chungcheongbuk-do,2010,Population figures,1512.2
Chungcheongbuk-do,2010,Population figures,1543.0
Chungcheongbuk-do,2010,The number of houses,599.5
Chungcheongbuk-do,2010,The number of houses,600.3
Chungcheongbuk-do,2015,Houses per 1000 people,421.2
Chungcheongbuk-do,2015,Population figures,1589.3
Chungcheongbuk-do,2015,The number of houses,669.4
Chungcheongbuk-do,2016,Houses per 1000 people,426.7
Chungcheongbuk-do,2016,Population figures,1603.4
Chungcheongbuk-do,2016,The number of houses,684.3
Chungcheongbuk-do,2017,Houses per 1000 people,435.0
Chungcheongbuk-do,2017,Population figures,1611.0
Chungcheongbuk-do,2017,The number of houses,700.8
Chungcheongbuk-do,2018,Houses per 1000 people,0.0
Chungcheongbuk-do,2018,Houses per 1000 people,450.2
Chungcheongbuk-do,2018,Population figures,0.0
Chungcheongbuk-do,2018,Population figures,1620.9
Chungcheongbuk-do,2018,The number of houses,0.0
Chungcheongbuk-do,2018,The number of houses,729.7
Chungcheongbuk-do,2019,Houses per 1000 people,0.0
Chungcheongbuk-do,2019,Houses per 1000 people,459.9
Chungcheongbuk-do,2019,Population figures,0.0
Chungcheongbuk-do,2019,Population figures,1629.3
Chungcheongbuk-do,2019,The number of houses,0.0
Chungcheongbuk-do,2019,The number of houses,749.4
Chungcheongbuk-do,2020,Houses per 1000 people,0.0
Chungcheongbuk-do,2020,Houses per 1000 people,469.4
Chungcheongbuk-do,2020,Population figures,0.0
Chungcheongbuk-do,2020,Population figures,1632.1
Chungcheongbuk-do,2020,The number of houses,0.0
Chungcheongbuk-do,2020,The number of houses,766.1
Chungcheongbuk-do,2021,Houses per 1000 people,0.0
Chungcheongbuk-do,2021,Houses per 1000 people,478.1
Chungcheongbuk-do,2021,Population figures,0.0
Chungcheongbuk-do,2021,Population figures,1624.8
Chungcheongbuk-do,2021,The number of houses,0.0
Chungcheongbuk-do,2021,The number of houses,776.9
Chungcheongbuk-do,2022,Houses per 1000 people,0.0
Chungcheongbuk-do,2022,Houses per 1000 people,484.0
Chungcheongbuk-do,2022,Population figures,0.0
Chungcheongbuk-do,2022,Population figures,1625.0
Chungcheongbuk-do,2022,The number of houses,0.0
Chungcheongbuk-do,2022,The number of houses,786.5
Chungcheongbuk-do,2023,Houses per 1000 people,0.0
Chungcheongbuk-do,2023,Houses per 1000 people,488.1
Chungcheongbuk-do,2023,Population figures,0.0
Chungcheongbuk-do,2023,Population figures,1641.5
Chungcheongbuk-do,2023,The number of houses,0.0
Chungcheongbuk-do,2023,The number of houses,801.2
Chungcheongnam-do,1995,Houses per 1000 people,270.3
Chungcheongnam-do,1995,Population figures,1766.9
Chungcheongnam-do,1995,The number of houses,477.6
Chungcheongnam-do,2000,Houses per 1000 people,317.1
Chungcheongnam-do,2000,Population figures,1845.3
Chungcheongnam-do,2000,The number of houses,585.1
Chungcheongnam-do,2005,Houses per 1000 people,362.7
Chungcheongnam-do,2005,Population figures,1889.5
Chungcheongnam-do,2005,The number of houses,685.3
Chungcheongnam-do,2010,Houses per 1000 people,398.0
Chungcheongnam-do,2010,Houses per 1000 people,380.9
Chungcheongnam-do,2010,Population figures,2028.0
Chungcheongnam-do,2010,Population figures,2086.0
Chungcheongnam-do,2010,The number of houses,807.2
Chungcheongnam-do,2010,The number of houses,794.6
Chungcheongnam-do,2015,Houses per 1000 people,409.2
Chungcheongnam-do,2015,Population figures,2107.8
