metric,value,date,year,quarter
Income,880499,1990-01-01,1990,1
Housing Expenses,58045,1990-01-01,1990,1
Income,890099,1990-01-01,1990,1
Housing Expenses,56195,1990-01-01,1990,1
Income,860860,1990-01-01,1990,1
Housing Expenses,61831,1990-01-01,1990,1
Income,893567,1990-04-01,1990,2
Housing Expenses,55038,1990-04-01,1990,2
Income,893907,1990-04-01,1990,2
Housing Expenses,52879,1990-04-01,1990,2
Income,892856,1990-04-01,1990,2
Housing Expenses,59556,1990-04-01,1990,2
Income,955067,1990-07-01,1990,3
Housing Expenses,60677,1990-07-01,1990,3
Income,978042,1990-07-01,1990,3
Housing Expenses,56833,1990-07-01,1990,3
Income,906743,1990-07-01,1990,3
Housing Expenses,68763,1990-07-01,1990,3
Income,1023397,1990-10-01,1990,4
Housing Expenses,67647,1990-10-01,1990,4
Income,1030701,1990-10-01,1990,4
Housing Expenses,65159,1990-10-01,1990,4
Income,1008189,1990-10-01,1990,4
Housing Expenses,72829,1990-10-01,1990,4
Income,1037358,1991-01-01,1991,1
Housing Expenses,69041,1991-01-01,1991,1
Income,1056632,1991-01-01,1991,1
Housing Expenses,67046,1991-01-01,1991,1
Income,997436,1991-01-01,1991,1
Housing Expenses,73172,1991-01-01,1991,1
Income,1102974,1991-04-01,1991,2
Housing Expenses,66056,1991-04-01,1991,2
Income,1116540,1991-04-01,1991,2
Housing Expenses,62401,1991-04-01,1991,2
Income,1076170,1991-04-01,1991,2
Housing Expenses,73278,1991-04-01,1991,2
Income,1209846,1991-07-01,1991,3
Housing Expenses,65075,1991-07-01,1991,3
Income,1235283,1991-07-01,1991,3
Housing Expenses,61961,1991-07-01,1991,3
Income,1160683,1991-07-01,1991,3
Housing Expenses,71093,1991-07-01,1991,3
Income,1241680,1991-10-01,1991,4
Housing Expenses,82716,1991-10-01,1991,4
Income,1254606,1991-10-01,1991,4
Housing Expenses,75461,1991-10-01,1991,4
Income,1216384,1991-10-01,1991,4
Housing Expenses,96912,1991-10-01,1991,4
Income,1281416,1992-01-01,1992,1
Housing Expenses,81629,1992-01-01,1992,1
Income,1303154,1992-01-01,1992,1
Housing Expenses,77859,1992-01-01,1992,1
Income,1238402,1992-01-01,1992,1
Housing Expenses,89087,1992-01-01,1992,1
Income,1294479,1992-04-01,1992,2
Housing Expenses,80088,1992-04-01,1992,2
Income,1300292,1992-04-01,1992,2
Housing Expenses,76139,1992-04-01,1992,2
Income,1282958,1992-04-01,1992,2
Housing Expenses,87915,1992-04-01,1992,2
Income,1373846,1992-07-01,1992,3
Housing Expenses,74294,1992-07-01,1992,3
Income,1413017,1992-07-01,1992,3
Housing Expenses,69928,1992-07-01,1992,3
Income,1297473,1992-07-01,1992,3
Housing Expenses,82805,1992-07-01,1992,3
Income,1401878,1992-10-01,1992,4
Housing Expenses,97080,1992-10-01,1992,4
Income,1436184,1992-10-01,1992,4
Housing Expenses,87859,1992-10-01,1992,4
Income,1337035,1992-10-01,1992,4
Housing Expenses,114508,1992-10-01,1992,4
Income,1399354,1993-01-01,1993,1
Housing Expenses,94936,1993-01-01,1993,1
Income,1441909,1993-01-01,1993,1
Housing Expenses,90368,1993-01-01,1993,1
Income,1320082,1993-01-01,1993,1
Housing Expenses,103444,1993-01-01,1993,1
Income,1373666,1993-04-01,1993,2
Housing Expenses,89643,1993-04-01,1993,2
Income,1393284,1993-04-01,1993,2
Housing Expenses,85388,1993-04-01,1993,2
Income,1336452,1993-04-01,1993,2
Housing Expenses,97715,1993-04-01,1993,2
Income,1485945,1993-07-01,1993,3
Housing Expenses,77625,1993-07-01,1993,3
Income,1522412,1993-07-01,1993,3
Housing Expenses,76472,1993-07-01,1993,3
Income,1419372,1993-07-01,1993,3
Housing Expenses,79729,1993-07-01,1993,3
Income,1520282,1993-10-01,1993,4
Housing Expenses,96265,1993-10-01,1993,4
Income,1538170,1993-10-01,1993,4
Housing Expenses,93570,1993-10-01,1993,4
Income,1487672,1993-10-01,1993,4
Housing Expenses,101178,1993-10-01,1993,4
Income,1575002,1994-01-01,1994,1
Housing Expenses,102339,1994-01-01,1994,1
Income,1610375,1994-01-01,1994,1
Housing Expenses,97149,1994-01-01,1994,1
Income,1512673,1994-01-01,1994,1
Housing Expenses,111485,1994-01-01,1994,1
Income,1595197,1994-04-01,1994,2
Housing Expenses,83472,1994-04-01,1994,2
Income,1615489,1994-04-01,1994,2
Housing Expenses,79871,1994-04-01,1994,2
Income,1558580,1994-04-01,1994,2
Housing Expenses,89971,1994-04-01,1994,2
Income,1699626,1994-07-01,1994,3
Housing Expenses,82880,1994-07-01,1994,3
Income,1746560,1994-07-01,1994,3
Housing Expenses,80268,1994-07-01,1994,3
Income,1614530,1994-07-01,1994,3
Housing Expenses,87616,1994-07-01,1994,3
Income,1763330,1994-10-01,1994,4
Housing Expenses,107369,1994-10-01,1994,4
Income,1797965,1994-10-01,1994,4
Housing Expenses,103672,1994-10-01,1994,4
Income,1700364,1994-10-01,1994,4
Housing Expenses,114090,1994-10-01,1994,4
Income,1800104,1995-01-01,1995,1
Housing Expenses,108277,1995-01-01,1995,1
Income,1855637,1995-01-01,1995,1
Housing Expenses,107780,1995-01-01,1995,1
Income,1703276,1995-01-01,1995,1
Housing Expenses,109145,1995-01-01,1995,1
Income,1784011,1995-04-01,1995,2
Housing Expenses,96847,1995-04-01,1995,2
Income,1790993,1995-04-01,1995,2
Housing Expenses,92996,1995-04-01,1995,2
Income,1771801,1995-04-01,1995,2
Housing Expenses,103582,1995-04-01,1995,2
Income,1927803,1995-07-01,1995,3
Housing Expenses,89412,1995-07-01,1995,3
Income,1974977,1995-07-01,1995,3
Housing Expenses,87132,1995-07-01,1995,3
Income,1847595,1995-07-01,1995,3
Housing Expenses,93289,1995-07-01,1995,3
Income,1972331,1995-10-01,1995,4
Housing Expenses,109789,1995-10-01,1995,4
Income,1987734,1995-10-01,1995,4
Housing Expenses,106500,1995-10-01,1995,4
Income,1946557,1995-10-01,1995,4
Housing Expenses,115293,1995-10-01,1995,4
Income,2048761,1996-01-01,1996,1
Housing Expenses,126262,1996-01-01,1996,1
Income,2103024,1996-01-01,1996,1
Housing Expenses,123957,1996-01-01,1996,1
Income,1958833,1996-01-01,1996,1
Housing Expenses,130081,1996-01-01,1996,1
Income,2020923,1996-04-01,1996,2
Housing Expenses,109401,1996-04-01,1996,2
Income,2039148,1996-04-01,1996,2
Housing Expenses,105859,1996-04-01,1996,2
Income,1990057,1996-04-01,1996,2
Housing Expenses,115401,1996-04-01,1996,2
Income,2154071,1996-07-01,1996,3
Housing Expenses,97891,1996-07-01,1996,3
