Primary_Area,Sub_Area,Date_Full,Year,Month,Price_Index
Metropolitan Cities,Busan  ,2006-01-01,2006,1,47.9
Metropolitan Cities,Busan  ,2006-02-01,2006,2,47.8
Metropolitan Cities,Busan  ,2006-03-01,2006,3,47.4
Metropolitan Cities,Busan  ,2006-04-01,2006,4,47.1
Metropolitan Cities,Busan  ,2006-05-01,2006,5,46.7
Metropolitan Cities,Busan  ,2006-06-01,2006,6,46.9
Metropolitan Cities,Busan  ,2006-07-01,2006,7,46.8
Metropolitan Cities,Busan  ,2006-08-01,2006,8,46.9
Metropolitan Cities,Busan  ,2006-09-01,2006,9,46.9
Metropolitan Cities,Busan  ,2006-10-01,2006,10,47.1
Metropolitan Cities,Busan  ,2006-11-01,2006,11,47.2
Metropolitan Cities,Busan  ,2006-12-01,2006,12,47.0
Metropolitan Cities,Busan  ,2007-01-01,2007,1,47.5
Metropolitan Cities,Busan  ,2007-02-01,2007,2,47.4
Metropolitan Cities,Busan  ,2007-03-01,2007,3,47.7
Metropolitan Cities,Busan  ,2007-04-01,2007,4,47.8
Metropolitan Cities,Busan  ,2007-05-01,2007,5,47.7
Metropolitan Cities,Busan  ,2007-06-01,2007,6,47.9
Metropolitan Cities,Busan  ,2007-07-01,2007,7,48.1
Metropolitan Cities,Busan  ,2007-08-01,2007,8,48.2
Metropolitan Cities,Busan  ,2007-09-01,2007,9,48.6
Metropolitan Cities,Busan  ,2007-10-01,2007,10,48.8
Metropolitan Cities,Busan  ,2007-11-01,2007,11,48.8
Metropolitan Cities,Busan  ,2007-12-01,2007,12,48.8
Metropolitan Cities,Busan  ,2008-01-01,2008,1,49.2
Metropolitan Cities,Busan  ,2008-02-01,2008,2,49.5
Metropolitan Cities,Busan  ,2008-03-01,2008,3,50.0
Metropolitan Cities,Busan  ,2008-04-01,2008,4,50.6
Metropolitan Cities,Busan  ,2008-05-01,2008,5,50.8
Metropolitan Cities,Busan  ,2008-06-01,2008,6,51.1
Metropolitan Cities,Busan  ,2008-07-01,2008,7,51.3
Metropolitan Cities,Busan  ,2008-08-01,2008,8,51.6
Metropolitan Cities,Busan  ,2008-09-01,2008,9,51.6
Metropolitan Cities,Busan  ,2008-10-01,2008,10,51.8
Metropolitan Cities,Busan  ,2008-11-01,2008,11,51.4
Metropolitan Cities,Busan  ,2008-12-01,2008,12,50.9
Metropolitan Cities,Busan  ,2009-01-01,2009,1,50.9
Metropolitan Cities,Busan  ,2009-02-01,2009,2,51.3
Metropolitan Cities,Busan  ,2009-03-01,2009,3,51.8
Metropolitan Cities,Busan  ,2009-04-01,2009,4,52.0
Metropolitan Cities,Busan  ,2009-05-01,2009,5,52.4
Metropolitan Cities,Busan  ,2009-06-01,2009,6,52.7
Metropolitan Cities,Busan  ,2009-07-01,2009,7,53.2
Metropolitan Cities,Busan  ,2009-08-01,2009,8,54.1
Metropolitan Cities,Busan  ,2009-09-01,2009,9,55.0
Metropolitan Cities,Busan  ,2009-10-01,2009,10,55.6
Metropolitan Cities,Busan  ,2009-11-01,2009,11,56.2
Metropolitan Cities,Busan  ,2009-12-01,2009,12,56.6
Metropolitan Cities,Busan  ,2010-01-01,2010,1,57.6
Metropolitan Cities,Busan  ,2010-02-01,2010,2,58.2
Metropolitan Cities,Busan  ,2010-03-01,2010,3,59.3
Metropolitan Cities,Busan  ,2010-04-01,2010,4,59.7
Metropolitan Cities,Busan  ,2010-05-01,2010,5,60.4
Metropolitan Cities,Busan  ,2010-06-01,2010,6,61.0
Metropolitan Cities,Busan  ,2010-07-01,2010,7,61.3
Metropolitan Cities,Busan  ,2010-08-01,2010,8,62.1
Metropolitan Cities,Busan  ,2010-09-01,2010,9,63.2
Metropolitan Cities,Busan  ,2010-10-01,2010,10,64.2
Metropolitan Cities,Busan  ,2010-11-01,2010,11,65.3
Metropolitan Cities,Busan  ,2010-12-01,2010,12,66.7
Metropolitan Cities,Busan  ,2011-01-01,2011,1,68.5
Metropolitan Cities,Busan  ,2011-02-01,2011,2,70.9
Metropolitan Cities,Busan  ,2011-03-01,2011,3,73.2
Metropolitan Cities,Busan  ,2011-04-01,2011,4,75.1
Metropolitan Cities,Busan  ,2011-05-01,2011,5,75.9
Metropolitan Cities,Busan  ,2011-06-01,2011,6,76.7
Metropolitan Cities,Busan  ,2011-07-01,2011,7,77.3
Metropolitan Cities,Busan  ,2011-08-01,2011,8,78.3
Metropolitan Cities,Busan  ,2011-09-01,2011,9,79.6
Metropolitan Cities,Busan  ,2011-10-01,2011,10,79.1
Metropolitan Cities,Busan  ,2011-11-01,2011,11,78.7
Metropolitan Cities,Busan  ,2011-12-01,2011,12,77.7
Metropolitan Cities,Busan  ,2012-01-01,2012,1,78.7
Metropolitan Cities,Busan  ,2012-02-01,2012,2,79.0
Metropolitan Cities,Busan  ,2012-03-01,2012,3,78.8
Metropolitan Cities,Busan  ,2012-04-01,2012,4,78.3
Metropolitan Cities,Busan  ,2012-05-01,2012,5,77.9
Metropolitan Cities,Busan  ,2012-06-01,2012,6,77.9
Metropolitan Cities,Busan  ,2012-07-01,2012,7,76.7
Metropolitan Cities,Busan  ,2012-08-01,2012,8,76.7
Metropolitan Cities,Busan  ,2012-09-01,2012,9,77.0
Metropolitan Cities,Busan  ,2012-10-01,2012,10,76.9
Metropolitan Cities,Busan  ,2012-11-01,2012,11,76.6
Metropolitan Cities,Busan  ,2012-12-01,2012,12,75.6
Metropolitan Cities,Busan  ,2013-01-01,2013,1,76.7
Metropolitan Cities,Busan  ,2013-02-01,2013,2,76.5
Metropolitan Cities,Busan  ,2013-03-01,2013,3,76.9
Metropolitan Cities,Busan  ,2013-04-01,2013,4,77.0
Metropolitan Cities,Busan  ,2013-05-01,2013,5,77.0
Metropolitan Cities,Busan  ,2013-06-01,2013,6,76.8
Metropolitan Cities,Busan  ,2013-07-01,2013,7,77.3
Metropolitan Cities,Busan  ,2013-08-01,2013,8,77.3
Metropolitan Cities,Busan  ,2013-09-01,2013,9,77.9
Metropolitan Cities,Busan  ,2013-10-01,2013,10,78.3
Metropolitan Cities,Busan  ,2013-11-01,2013,11,78.4
Metropolitan Cities,Busan  ,2013-12-01,2013,12,78.2
Metropolitan Cities,Busan  ,2014-01-01,2014,1,78.5
Metropolitan Cities,Busan  ,2014-02-01,2014,2,78.8
Metropolitan Cities,Busan  ,2014-03-01,2014,3,79.2
Metropolitan Cities,Busan  ,2014-04-01,2014,4,79.3
Metropolitan Cities,Busan  ,2014-05-01,2014,5,79.2
Metropolitan Cities,Busan  ,2014-06-01,2014,6,78.9
Metropolitan Cities,Busan  ,2014-07-01,2014,7,79.3
Metropolitan Cities,Busan  ,2014-08-01,2014,8,79.8
Metropolitan Cities,Busan  ,2014-09-01,2014,9,79.9
Metropolitan Cities,Busan  ,2014-10-01,2014,10,80.4
Metropolitan Cities,Busan  ,2014-11-01,2014,11,80.9
Metropolitan Cities,Busan  ,2014-12-01,2014,12,81.2
Metropolitan Cities,Busan  ,2015-01-01,2015,1,81.5
Metropolitan Cities,Busan  ,2015-02-01,2015,2,82.1
Metropolitan Cities,Busan  ,2015-03-01,2015,3,82.8
Metropolitan Cities,Busan  ,2015-04-01,2015,4,83.6
Metropolitan Cities,Busan  ,2015-05-01,2015,5,84.1
Metropolitan Cities,Busan  ,2015-06-01,2015,6,84.9
Metropolitan Cities,Busan  ,2015-07-01,2015,7,85.7
Metropolitan Cities,Busan  ,2015-08-01,2015,8,86.4
Metropolitan Cities,Busan  ,2015-09-01,2015,9,87.4
Metropolitan Cities,Busan  ,2015-10-01,2015,10,88.3
Metropolitan Cities,Busan  ,2015-11-01,2015,11,89.0
Metropolitan Cities,Busan  ,2015-12-01,2015,12,89.0
Metropolitan Cities,Busan  ,2016-01-01,2016,1,88.8
Metropolitan Cities,Busan  ,2016-02-01,2016,2,89.3
Metropolitan Cities,Busan  ,2016-03-01,2016,3,89.7
Metropolitan Cities,Busan  ,2016-04-01,2016,4,90.1
Metropolitan Cities,Busan  ,2016-05-01,2016,5,90.3
Metropolitan Cities,Busan  ,2016-06-01,2016,6,90.9
Metropolitan Cities,Busan  ,2016-07-01,2016,7,91.8
Metropolitan Cities,Busan  ,2016-08-01,2016,8,93.4
Metropolitan Cities,Busan  ,2016-09-01,2016,9,95.5
Metropolitan Cities,Busan  ,2016-10-01,2016,10,97.4
Metropolitan Cities,Busan  ,2016-11-01,2016,11,98.4
Metropolitan Cities,Busan  ,2016-12-01,2016,12,98.7
Metropolitan Cities,Busan  ,2017-01-01,2017,1,98.6
Metropolitan Cities,Busan  ,2017-02-01,2017,2,99.3
Metropolitan Cities,Busan  ,2017-03-01,2017,3,100.0
Metropolitan Cities,Busan  ,2017-04-01,2017,4,100.7
Metropolitan Cities,Busan  ,2017-05-01,2017,5,100.8
Metropolitan Cities,Busan  ,2017-06-01,2017,6,101.2
Metropolitan Cities,Busan  ,2017-07-01,2017,7,101.5
Metropolitan Cities,Busan  ,2017-08-01,2017,8,101.4
Metropolitan Cities,Busan  ,2017-09-01,2017,9,100.6
Metropolitan Cities,Busan  ,2017-10-01,2017,10,100.5
Metropolitan Cities,Busan  ,2017-11-01,2017,11,100.0
Metropolitan Cities,Busan  ,2017-12-01,2017,12,98.8
Metropolitan Cities,Busan  ,2018-01-01,2018,1,98.6
Metropolitan Cities,Busan  ,2018-02-01,2018,2,98.1
Metropolitan Cities,Busan  ,2018-03-01,2018,3,97.9
Metropolitan Cities,Busan  ,2018-04-01,2018,4,98.0
Metropolitan Cities,Busan  ,2018-05-01,2018,5,97.3
Metropolitan Cities,Busan  ,2018-06-01,2018,6,96.4
Metropolitan Cities,Busan  ,2018-07-01,2018,7,96.0
Metropolitan Cities,Busan  ,2018-08-01,2018,8,96.0
Metropolitan Cities,Busan  ,2018-09-01,2018,9,95.8
Metropolitan Cities,Busan  ,2018-10-01,2018,10,96.0
Metropolitan Cities,Busan  ,2018-11-01,2018,11,94.9
Metropolitan Cities,Busan  ,2018-12-01,2018,12,94.0
Metropolitan Cities,Busan  ,2019-01-01,2019,1,93.7
Metropolitan Cities,Busan  ,2019-02-01,2019,2,93.6
Metropolitan Cities,Busan  ,2019-03-01,2019,3,92.4
Metropolitan Cities,Busan  ,2019-04-01,2019,4,92.5
Metropolitan Cities,Busan  ,2019-05-01,2019,5,91.8
Metropolitan Cities,Busan  ,2019-06-01,2019,6,91.2
Metropolitan Cities,Busan  ,2019-07-01,2019,7,91.2
Metropolitan Cities,Busan  ,2019-08-01,2019,8,90.8
Metropolitan Cities,Busan  ,2019-09-01,2019,9,90.8
Metropolitan Cities,Busan  ,2019-10-01,2019,10,90.6
Metropolitan Cities,Busan  ,2019-11-01,2019,11,92.9
Metropolitan Cities,Busan  ,2019-12-01,2019,12,95.0
Metropolitan Cities,Busan  ,2020-01-01,2020,1,94.9
Metropolitan Cities,Busan  ,2020-02-01,2020,2,95.1
Metropolitan Cities,Busan  ,2020-03-01,2020,3,95.1
Metropolitan Cities,Busan  ,2020-04-01,2020,4,94.8
Metropolitan Cities,Busan  ,2020-05-01,2020,5,95.0
Metropolitan Cities,Busan  ,2020-06-01,2020,6,96.1
Metropolitan Cities,Busan  ,2020-07-01,2020,7,97.1
Metropolitan Cities,Busan  ,2020-08-01,2020,8,97.6
Metropolitan Cities,Busan  ,2020-09-01,2020,9,98.7
Metropolitan Cities,Busan  ,2020-10-01,2020,10,101.3
Metropolitan Cities,Busan  ,2020-11-01,2020,11,106.2
Metropolitan Cities,Busan  ,2020-12-01,2020,12,110.9
Metropolitan Cities,Busan  ,2021-01-01,2021,1,112.2
Metropolitan Cities,Busan  ,2021-02-01,2021,2,113.7
Metropolitan Cities,Busan  ,2021-03-01,2021,3,114.0
Metropolitan Cities,Busan  ,2021-04-01,2021,4,115.7
Metropolitan Cities,Busan  ,2021-05-01,2021,5,117.6
Metropolitan Cities,Busan  ,2021-06-01,2021,6,119.7
Metropolitan Cities,Busan  ,2021-07-01,2021,7,122.2
Metropolitan Cities,Busan  ,2021-08-01,2021,8,123.7
Metropolitan Cities,Busan  ,2021-09-01,2021,9,124.7
Metropolitan Cities,Busan  ,2021-10-01,2021,10,125.4
Metropolitan Cities,Busan  ,2021-11-01,2021,11,124.6
Metropolitan Cities,Busan  ,2021-12-01,2021,12,122.6
Metropolitan Cities,Busan  ,2022-01-01,2022,1,122.8
Metropolitan Cities,Busan  ,2022-02-01,2022,2,123.0
Metropolitan Cities,Busan  ,2022-03-01,2022,3,123.1
Metropolitan Cities,Busan  ,2022-04-01,2022,4,123.5
Metropolitan Cities,Busan  ,2022-05-01,2022,5,122.6
Metropolitan Cities,Busan  ,2022-06-01,2022,6,121.6
Metropolitan Cities,Busan  ,2022-07-01,2022,7,119.5
Metropolitan Cities,Busan  ,2022-08-01,2022,8,117.4
Metropolitan Cities,Busan  ,2022-09-01,2022,9,115.2
Metropolitan Cities,Busan  ,2022-10-01,2022,10,113.7
Metropolitan Cities,Busan  ,2022-11-01,2022,11,108.6
Metropolitan Cities,Busan  ,2022-12-01,2022,12,106.0
Metropolitan Cities,Busan  ,2023-01-01,2023,1,104.7
Metropolitan Cities,Busan  ,2023-02-01,2023,2,105.6
Metropolitan Cities,Busan  ,2023-03-01,2023,3,106.0
Metropolitan Cities,Busan  ,2023-04-01,2023,4,106.7
Metropolitan Cities,Busan  ,2023-05-01,2023,5,106.8
Metropolitan Cities,Busan  ,2023-06-01,2023,6,107.1
Metropolitan Cities,Busan  ,2023-07-01,2023,7,107.0
Metropolitan Cities,Busan  ,2023-08-01,2023,8,107.8
Metropolitan Cities,Busan  ,2023-09-01,2023,9,107.6
Metropolitan Cities,Busan  ,2023-10-01,2023,10,107.2
Metropolitan Cities,Busan  ,2023-11-01,2023,11,106.5
Metropolitan Cities,Busan  ,2023-12-01,2023,12,105.4
Metropolitan Cities,Busan  ,2024-01-01,2024,1,105.2
Metropolitan Cities,Busan  ,2024-02-01,2024,2,104.8
Metropolitan Cities,Busan  ,2024-03-01,2024,3,105.0
Metropolitan Cities,Busan  ,2024-04-01,2024,4,104.4
Metropolitan Cities,Busan  ,2024-05-01,2024,5,103.9
Metropolitan Cities,Busan  ,2024-06-01,2024,6,104.0
Metropolitan Cities,Busan  ,2024-07-01,2024,7,104.0
Metropolitan Cities,Busan  ,2024-08-01,2024,8,104.3
Metropolitan Cities,Busan  ,2024-09-01,2024,9,104.2
Metropolitan Cities,Busan  ,2024-10-01,2024,10,104.2
Metropolitan Cities,Busan  ,2024-11-01,2024,11,103.8
Metropolitan Cities,Busan  ,2024-12-01,2024,12,103.2
Metropolitan Cities,Busan  ,2025-01-01,2025,1,102.4
Metropolitan Cities,Busan  ,2025-02-01,2025,2,102.1
Metropolitan Cities,Busan  ,,2025,,-0.03
Metropolitan Cities,Daegu  ,2006-01-01,2006,1,60.7
Metropolitan Cities,Daegu  ,2006-02-01,2006,2,60.7
Metropolitan Cities,Daegu  ,2006-03-01,2006,3,60.6
Metropolitan Cities,Daegu  ,2006-04-01,2006,4,60.7
Metropolitan Cities,Daegu  ,2006-05-01,2006,5,60.3
Metropolitan Cities,Daegu  ,2006-06-01,2006,6,59.8
Metropolitan Cities,Daegu  ,2006-07-01,2006,7,59.3
Metropolitan Cities,Daegu  ,2006-08-01,2006,8,59.5
Metropolitan Cities,Daegu  ,2006-09-01,2006,9,59.5
Metropolitan Cities,Daegu  ,2006-10-01,2006,10,59.4
Metropolitan Cities,Daegu  ,2006-11-01,2006,11,59.4
Metropolitan Cities,Daegu  ,2006-12-01,2006,12,59.0
Metropolitan Cities,Daegu  ,2007-01-01,2007,1,59.3
Metropolitan Cities,Daegu  ,2007-02-01,2007,2,58.9
Metropolitan Cities,Daegu  ,2007-03-01,2007,3,59.1
Metropolitan Cities,Daegu  ,2007-04-01,2007,4,58.6
Metropolitan Cities,Daegu  ,2007-05-01,2007,5,57.8
Metropolitan Cities,Daegu  ,2007-06-01,2007,6,57.6
Metropolitan Cities,Daegu  ,2007-07-01,2007,7,57.7
Metropolitan Cities,Daegu  ,2007-08-01,2007,8,57.4
Metropolitan Cities,Daegu  ,2007-09-01,2007,9,57.6
